cino,date,from_court_no,from_judge,to_court_no,to_judge
ASBN030007702016,2016-12-23,4,CJM Bongaigaon,5,Addl. CJM Bongaigaon
ASBN070011602021,2021-09-07,1,Sub-Divisional Judicial Magistrate,2,Judicial Magistrate 1st Class
ASBN030003832020,2020-04-29,4,CJM Bongaigaon,5,Addl. CJM Bongaigaon
ASBN070011612021,2021-09-07,1,Sub-Divisional Judicial Magistrate,2,Judicial Magistrate 1st Class
ASBN030025332019,2019-11-04,4,CJM Bongaigaon,6,SDJM (Sadar)
ASBN030025332019,2019-11-04,12,Special Railway Magistrate,4,CJM Bongaigaon
ASBN030025332019,2020-03-05,NA,NA,4,CJM Bongaigaon
ASBN030015122021,2021-07-27,4,CJM Bongaigaon,11,JM 1st Class
ASBN030015122021,2022-05-18,4,CJM Bongaigaon,11,JM 1st Class
ASBN030015122021,2022-05-18,11,JM 1st Class,4,CJM Bongaigaon
ASBN030015122021,2022-05-23,11,JM 1st Class,4,CJM Bongaigaon
ASGL030005452021,2021-07-07,5,Sub Divisional Judicial Magistrate ( S ),7,JMFC 2
ASGL030007752020,2021-03-04,8,JMFC 1,5,Sub Divisional Judicial Magistrate ( S )
ASGL030007752020,2022-10-01,5,Sub Divisional Judicial Magistrate ( S ),8,JMFC 1
ASGL030010192021,2021-11-16,5,Sub Divisional Judicial Magistrate ( S ),3,Chief Judicial Magistrate
ASTN040015032017,2018-11-12,6,"Additional Chief Judicial Magistrate,  Tinsukia",7,"Sub-Divisional Judicial Magistrate(Sadar),Tinsukia"
ASTN040003782020,2021-04-30,10,"Chief Judicial Magistrate,  Tinsukia",9,"Munsiff No.2 cum J.M.1st Class, Tinsukia"
ASTN040003782020,2021-09-15,9,"Munsiff No.2 cum J.M.1st Class, Tinsukia",7,"Sub-Divisional Judicial Magistrate(Sadar),Tinsukia"
ASTN040004252016,2017-11-27,6,"Additional Chief Judicial Magistrate,  Tinsukia",7,"Sub-Divisional Judicial Magistrate(Sadar),Tinsukia"
ASTN060004842016,2018-06-27,1,SDJM Margherita,2,Munsiff Cum JM 1st Class Margherita
ASTN040013912015,2017-09-16,4,"Chief Judicial Magistrate,  Tinsukia",10,"Judicial Magistrate 1st Class, Tinsukia"
ASTN040004272016,2017-10-17,8,"Munsiff No.1 cum J.M.1st Class, Tinsukia",9,"Munsiff No.2 cum J.M.1st Class, Tinsukia"
ASTN040004272016,2018-02-20,9,"Chief Judicial Magistrate,  Tinsukia",10,"Judicial Magistrate 1st Class, Tinsukia"
ASTN040004272016,2019-09-21,10,"Chief Judicial Magistrate,  Tinsukia",7,"Sub-Divisional Judicial Magistrate(Sadar),Tinsukia"
ASTN040004252015,2016-06-13,7,"Chief Judicial Magistrate,  Tinsukia",8,"Munsiff No.1 cum J.M.1st Class, Tinsukia"
ASTN040004242015,2016-06-20,7,"Chief Judicial Magistrate,  Tinsukia",8,"Munsiff No.1 cum J.M.1st Class, Tinsukia"
ASTN040004242015,2018-01-29,8,"Munsiff No.1 cum J.M.1st Class, Tinsukia",7,"Sub-Divisional Judicial Magistrate(Sadar),Tinsukia"
ASTN010003232023,2023-03-03,1,"District &amp; Sessions Judge, Tinsukia",3,"Addl. District & Sessions Judge,FTC No.2,Tinsukia"
ASTN040004262015,2016-06-03,7,"Chief Judicial Magistrate,  Tinsukia",6,"Additional Chief Judicial Magistrate,  Tinsukia"
ASTN040004262015,2017-11-27,6,"Additional Chief Judicial Magistrate,  Tinsukia",7,"Sub-Divisional Judicial Magistrate(Sadar),Tinsukia"
ASTN040004232015,2016-06-03,7,"Chief Judicial Magistrate,  Tinsukia",4,"Chief Judicial Magistrate,  Tinsukia"
ASTN010017362022,2022-12-22,1,"District &amp; Sessions Judge, Tinsukia",2,"Addl. Sessions Judge-cum-Special Judge, POCSO, Tinsukia"
ASDU030000462020,2020-07-04,11,Judicial Magistrate First Class 1,6,Sub-Divisional Judicial Magistrate (S)
ASKM010003362018,2022-06-15,1,"District and Sessions Judge, Kamrup Metro",23,"Addl. Sessions Judge -cum- Special Judge POCSO, Kamrup Metro"
ASKM010026302017,2017-07-21,1,"District and Sessions Judge, Kamrup Metro",2,"Addl. District and Sessions Judge No. 1, Kamrup Metro"
ASKM010032002015,2015-09-28,1,"District and Sessions Judge, Kamrup Metro",4,"Addl. District  and Sessions Judge (FTC) No. 4, Kamrup Metro"
AS01060248102017,2019-11-05,2,"C.J.M, Kamrup Metro.",15,"Munsiff No. 5 cum JMFC,Smti. Elizabeth Hazarika"
AS01060248102017,2020-02-11,15,Munsiff No. 5 cum JMFC,14,"JMFC 6, Smti Dimpy Naroh"
AS01060007192016,2023-02-24,6,"SDJM-2, Smti Jahnobi Hazarika",15,"Munsiff No-5 cum JMFC, Smti. Bhashyarima Bhuyan"
BRSW020004772017,2017-03-02,6,CJM,14,SDJM
BRSW020004762017,2017-02-22,6,CJM,14,SDJM
BRSW020037332012,2016-08-23,NA,NA,NA,NA
BRSW020037332012,2020-03-07,19,Judicial Magistarate First Class,31,Judicial Magistarate First Class
BRSW020048862016,2022-10-01,46,Addl. Civil Judge ( Sr.Division)-XIII-Cum-ACJM-XIII,41,Addl. Civil Judge ( Sr.Division)-VII-Cum-ACJM-X
BRRO110012762019,2021-02-05,10,Sub judge-I cum ACJM-I,13,Subjudge-III cum ACJM-III
BRRO110012762019,2022-04-06,13,Subjudge-III cum ACJM-III,11,J.M
BRRO110012762019,2022-08-23,11,J.M,6,J.M
BRSR020114312015,2017-02-14,NA,NA,39,ACJM-5
BRGA010131062022,2022-11-28,1,District and Sessions Judge,20,Addl District and Sessions Judge- XI
BRGA020045312021,2022-08-01,1,Chief Judicial Magistrate,15,Judicial Magistrate 1st Class
BRGA020007722017,2019-09-09,1,Chief Judicial Magistrate,19,Addl. Chief Judicial Magistrate -XIII
BRGA020059072019,2020-09-04,1,Chief Judicial Magistrate,17,Judicial Magistrate 1st Class -V
BRGA020059072019,2021-01-22,17,Judicial Magistrate 1st Class -V,2,Addl. Chief Judicial Magistrate -I
BRGA020017382016,2021-04-06,10,Addl. Chief Judicial Magistrate -XI,11,Addl. Chief Judicial Magistrate -V
BRGA020062472021,2021-10-22,1,Chief Judicial Magistrate,19,Addl. Chief Judicial Magistrate -XIII
BRGA020062472021,2022-11-21,19,Addl. Chief Judicial Magistrate -XIII,1,Chief Judicial Magistrate
BRGA010118202021,2022-01-07,13,Addl. District and Sessions Judge-IV,5,Addl. District and Sessions Judge-II
BRGA020071452019,2020-06-25,1,Chief Judicial Magistrate,14,Judicial Magistrate 1st  Class-II
BRGA020001372019,2019-01-07,1,Chief Judicial Magistrate,3,Addl. Chief Judicial Magistrate-VII
BRGA020001372019,2020-08-28,3,Addl. Chief Judicial Magistrate-VII,14,Judicial Magistrate 1st  Class-II
BRGA010001542017,2020-01-21,1,District and Sessions Judge,20,Addl District and Sessions Judge- XI
BRGA010001542017,2021-09-25,20,Addl District and Sessions Judge- XI,22,Addl District and Sessions Judge- XV
BRGA020007702017,2019-10-01,1,Chief Judicial Magistrate,15,Judicial Magistrate 1st  Class-III
BRGA010047432021,2021-04-08,1,District and Sessions Judge,8,Addl. District and Sessions Judge-V
BRGA010138192022,2022-12-09,1,District and Sessions Judge,22,Addl District and Sessions Judge- XV
BRGA010101572020,2021-01-05,1,District and Sessions Judge,4,Addl. District and Sessions Judge-I
BRGA020070472018,2019-10-01,1,Chief Judicial Magistrate,19,Addl. Chief Judicial Magistrate -XIII
BRGA010000602022,2022-06-07,1,District and Sessions Judge,5,Addl. District and Sessions Judge-II
BRGA020007082017,2019-10-01,1,Chief Judicial Magistrate,19,Addl. Chief Judicial Magistrate -XIII
BRGA020094062018,2019-06-21,1,Chief Judicial Magistrate,20,Judicial Magistrate 1st Class
BRGA020094062018,2019-10-31,20,Judicial Magistrate 1st Class,NA,NA
BRGA020004972019,2022-07-06,1,Chief Judicial Magistrate,38,Judicial Magistrate 1st Class
BRGA010110602022,2022-10-10,1,District and Sessions Judge,4,Addl. District and Sessions Judge-I
BRGA010095932018,2019-08-16,8,Addl. District and Sessions Judge-V,18,Addl District and Sessions Judge- X
BRGA010095932018,2021-01-22,18,Addl District and Sessions Judge- X,19,Addl. District and Sessions Judge-III
BRGA010095932018,2021-12-14,19,Addl. District and Sessions Judge-III,18,Addl District and Sessions Judge- X
BRGA020007672017,2019-09-09,1,Chief Judicial Magistrate,19,Addl. Chief Judicial Magistrate -XIII
BRGA020040792021,2021-07-15,1,Chief Judicial Magistrate,28,Judicial Magistrate 1st Class
BRGA010066662020,2020-09-22,1,District and Sessions Judge,8,Addl. District and Sessions Judge-V
BRGA020007712017,2019-10-01,1,Chief Judicial Magistrate,19,Addl. Chief Judicial Magistrate -XIII
BRGA110010802018,2018-05-01,1,A.C.J.M-I,2,Incharge-S.D.J.M.
BRGA010001242016,2021-09-25,1,District and Sessions Judge,17,Addl. District and Sessions Judge-IX
BRGA010001242016,2022-08-17,17,Addl. District and Sessions Judge-IX,8,Addl. District and Sessions Judge-V
BRGA010071982020,2020-10-05,1,District and Sessions Judge,8,Addl. District and Sessions Judge-V
BRGA020006412021,2021-01-30,1,Chief Judicial Magistrate,18,Addl. Chief Judicial Magistrate -VIII
BRGA020006412021,2022-06-30,18,Addl. Chief Judicial Magistrate -VIII,42,Judicial Magistrate 1st Class
BRGA020060752017,2021-01-22,1,Chief Judicial Magistrate,2,Addl. Chief Judicial Magistrate -I
BRGA020034122021,2021-06-17,1,Chief Judicial Magistrate,19,Addl. Chief Judicial Magistrate -XIII
BRGA020048022016,2020-10-21,4,Addl. Chief Judicial Magistrate -IX,19,Addl. Chief Judicial Magistrate -XIII
BRGA020048022016,2020-11-09,19,Addl. Chief Judicial Magistrate -XIII,24,Judicial Magistrate 1st Class
BRGA010075522022,2022-08-03,1,District and Sessions Judge,5,Addl. District and Sessions Judge-II
BRGA020007042017,2019-10-01,1,Chief Judicial Magistrate,16,Judicial Magistrate 1st Class
