cino,date,from_court_no,from_judge,to_court_no,to_judge
BRPU020077942015,2015-10-09,22,Chief Judicial Magistrate,52,Judicial Magistrate 1st Class
BRPU020077942015,2021-10-09,52,Judicial Magistrate 1st Class,92,Judicial Magistrate II Class
BRPU020016472015,2015-03-04,22,Chief Judicial Magistrate,18,JM 1st class cum AM 5th
BRPU020016472015,2015-07-31,18,JM 1st class cum AM 5th,54,Judicial Magistrate 1st Class
BRPU020016472015,2015-10-05,NA,NA,65,Addl. Chief Judicial Magistrate
BRPU020016472015,2016-06-09,65,Addl. Chief Judicial Magistrate,24,Subdivisional Judicial Magistrate
BRPU020042762018,2020-01-03,22,Chief Judicial Magistrate,39,Judicial Magistrate 1st Class
BRPU020019092016,2020-04-29,22,Chief Judicial Magistrate,39,Judicial Magistrate 1st Class
BRPU020024222017,2017-04-24,22,Chief Judicial Magistrate,52,Judicial Magistrate 1st Class
BRPU020024222017,2018-07-12,52,Judicial Magistrate 1st Class,69,Judicial Magistrate II Class
BRPU020024222017,2018-10-09,69,Judicial Magistrate II Class,52,Judicial Magistrate 1st Class
BRPU020024222017,2022-07-19,52,Judicial Magistrate 1st Class,51,Judicial Magistrate 1st Class
BRPU020052602018,2019-08-30,22,Chief Judicial Magistrate,69,Judicial Magistrate 1st Class
BRPU020023572016,2016-10-12,22,Chief Judicial Magistrate,29,Addl. Chief Judicial Magistrate
BRPU020004642016,2016-01-22,22,Chief Judicial Magistrate,50,Judicial Magistrate 1st Class
BRPU020046822016,2017-06-15,22,Chief Judicial Magistrate,51,Judicial Magistrate 1st Class
BRPU020046822016,2018-10-11,51,Judicial Magistrate 1st Class,52,Judicial Magistrate 1st Class
BRPU020046822016,2019-07-19,52,Judicial Magistrate 1st Class,26,Judicial Magistrate 1st Class
BRPU020042742018,2020-01-03,22,Chief Judicial Magistrate,39,Judicial Magistrate 1st Class
BRPU020044452015,2015-06-09,22,Chief Judicial Magistrate,53,Judicial Magistrate 1st Class
BRPU020044452015,2015-11-02,NA,NA,65,Addl. Chief Judicial Magistrate
BRPU020044452015,2018-07-02,65,Addl. Chief Judicial Magistrate,69,Judicial Magistrate II Class
BRPU020044452015,2021-10-09,69,Judicial Magistrate 1st Class,92,Judicial Magistrate II Class
BRPU020024212017,2017-04-29,22,Chief Judicial Magistrate,52,Judicial Magistrate 1st Class
BRPU020024212017,2022-07-25,52,Judicial Magistrate 1st Class,91,Judicial Magistrate 1st Class
BRPU020003132016,2016-01-06,22,Chief Judicial Magistrate,51,Judicial Magistrate 1st Class
BRPU020003132016,2018-06-05,51,Judicial Magistrate 1st Class,69,Judicial Magistrate II Class
BRPU020003132016,2018-10-11,69,Judicial Magistrate II Class,52,Judicial Magistrate 1st Class
BRPU020003132016,2022-07-25,52,Judicial Magistrate 1st Class,91,Judicial Magistrate 1st Class
BRPU020066932018,2020-10-01,22,Chief Judicial Magistrate,38,Judicial Magistrate 1st Class
BRPU020066932018,2021-01-12,38,"CJM DIVISION, PURNEA",NA,DJ Division
BRPU020044652016,2017-05-25,22,Chief Judicial Magistrate,50,Judicial Magistrate 1st Class
BRPU020044652016,2021-10-27,50,Judicial Magistrate 1st Class,67,ACJM 4th
BRPU020044652016,2022-07-25,67,ACJM 4th,92,Judicial Magistrate 1st Class
BRPU020056462018,2018-10-15,22,Chief Judicial Magistrate,24,Subdivisional Judicial Magistrate
BRPU020056462018,2022-07-28,24,Subdivisional Judicial Magistrate,92,Judicial Magistrate 1st Class
BRPU020041032018,2018-12-12,50,Judicial Magistrate 1st Class,22,Chief Judicial Magistrate
BRPU020041032018,2018-12-12,22,Chief Judicial Magistrate,50,Judicial Magistrate 1st Class
BRPU020041032018,2018-12-13,22,Chief Judicial Magistrate,50,Judicial Magistrate 1st Class
BRPU020041032018,2021-10-27,50,Judicial Magistrate 1st Class,67,ACJM 4th
BRPU020041032018,2022-07-25,67,ACJM 4th,93,Judicial Magistrate 1st Class
BRPU020077932015,2015-10-09,22,Chief Judicial Magistrate,52,Judicial Magistrate 1st Class
BRPU020044422015,2015-06-09,22,Chief Judicial Magistrate,48,Judicial Magistrate 1st Class
BRPU020044422015,2016-03-21,NA,NA,52,Judicial Magistrate 1st Class
BRPU020044422015,2019-04-25,52,Judicial Magistrate 1st Class,38,Judicial Magistrate II Class
BRPU020016322016,2016-03-28,22,Chief Judicial Magistrate,65,Addl. Chief Judicial Magistrate
BRPU020016322016,2017-07-15,65,Addl. Chief Judicial Magistrate,24,Subdivisional Judicial Magistrate
BRPU020016322016,2017-07-15,24,Subdivisional Judicial Magistrate,65,Addl. Chief Judicial Magistrate
BRPU020016322016,2019-05-22,65,Subdivisional Judicial Magistrate,51,Judicial Magistrate 1st Class
BRPU020016322016,2021-10-19,51,JM 1st class cum AM 3rd,65,ACJM 2nd
BRPU020044512015,2015-06-10,22,Chief Judicial Magistrate,55,Judicial Magistrate 1st Class
BRPU020044512015,2015-09-09,NA,NA,68,Addl. Chief Judicial Magistrate
BRPU020044512015,2017-07-06,68,Addl. Chief Judicial Magistrate,52,Judicial Magistrate 1st Class
BRPU020044512015,2019-08-06,52,Judicial Magistrate 1st Class,18,Judicial Magistrate 1st Class
BRPU020044512015,2022-01-07,18,Judicial Magistrate 1st Class,87,Judicial Magistrate II Class
BRPU020044512015,2022-05-28,87,Judicial Magistrate 1st Class,69,Judicial Magistrate 1st Class
BRPU020030402017,2017-06-03,22,Chief Judicial Magistrate,52,Judicial Magistrate 1st Class
BRPU020030402017,2019-08-06,52,Judicial Magistrate 1st Class,26,Judicial Magistrate 1st Class
BRPU020024242017,2017-04-24,22,Chief Judicial Magistrate,52,Judicial Magistrate 1st Class
BRPU020024242017,2020-01-03,52,Judicial Magistrate 1st Class,39,Judicial Magistrate 1st Class
BRPU020024242017,2022-07-15,39,Judicial Magistrate 1st Class,52,Judicial Magistrate 1st Class
BRPU020038172016,2018-10-26,22,Chief Judicial Magistrate,65,Addl. Chief Judicial Magistrate
BRPU020042882018,2018-08-01,22,Chief Judicial Magistrate,52,Judicial Magistrate 1st Class
BRPU020042882018,2019-07-19,52,Judicial Magistrate 1st Class,26,Judicial Magistrate 1st Class
BRPU020042882018,2021-10-04,26,Judicial Magistrate 1st Class,86,Judicial Magistrate II Class
BRPU020042882018,2022-05-28,86,Judicial Magistrate 1st Class,18,Judicial Magistrate 1st Class
BRPU020024192017,2017-03-21,22,Chief Judicial Magistrate,52,Judicial Magistrate 1st Class
BRPU020024192017,2021-10-26,52,Judicial Magistrate 1st Class,91,Judicial Magistrate II Class
BRPU020069472015,2015-09-11,22,Chief Judicial Magistrate,52,Judicial Magistrate 1st Class
BRPU020069472015,2016-09-26,52,Judicial Magistrate 1st Class,NA,NA
BRPU020069472015,2017-04-03,NA,NA,52,Judicial Magistrate 1st Class
BRPU020069472015,2021-10-09,52,Judicial Magistrate 1st Class,92,Judicial Magistrate II Class
BRPU020012402016,2016-03-03,22,Chief Judicial Magistrate,65,Addl. Chief Judicial Magistrate
BRPU020012402016,2019-05-22,65,Subdivisional Judicial Magistrate,51,Judicial Magistrate 1st Class
BRPU020012402016,2021-10-16,51,JM 1st class cum AM 3rd,65,ACJM 2nd
BRPU020009212021,2021-02-15,22,Chief Judicial Magistrate,29,Addl. Chief Judicial Magistrate
BRKH020046902017,2017-11-21,5,C.J.M,19,A.C.J.M
BRKH020014042018,2018-05-21,5,C.J.M,19,A.C.J.M
BRKH020014092018,2018-05-28,5,C.J.M,19,A.C.J.M
BRKH020046862017,2017-11-20,5,C.J.M,19,A.C.J.M
BRKH020001682019,2021-04-15,5,C.J.M,30,JM Ist Class
BRKH020053952017,2018-01-10,5,C.J.M,19,A.C.J.M
BRKH020032222017,2018-10-04,5,C.J.M,19,A.C.J.M
BRKH020015782018,2018-06-08,NA,NA,27,JM Ist Class
BRKH020046892017,2017-11-21,5,C.J.M,19,A.C.J.M
BRKH020053942017,2018-01-10,5,C.J.M,19,A.C.J.M
BRKH020005992018,2018-02-23,5,C.J.M,19,A.C.J.M
BRKH020044082016,2018-02-16,5,C.J.M,19,A.C.J.M
BRKH020014062018,2018-05-22,5,C.J.M,19,A.C.J.M
BRKH020025982022,2022-11-25,5,C.J.M,35,JM Ist.Class
BRKH010022272016,2016-08-29,NA,NA,3,A.D.J.- I
BRKH010088562022,2022-11-23,1,District and Sessions Judge,31,A.D.J. - V
BRKH020016642021,2022-08-08,5,C.J.M,35,JM Ist.Class
BRKH020058972018,2019-09-07,5,C.J.M,13,J.M.Ist. Class
BRKH020058972018,2020-01-25,13,J.M.Ist. Class,31,ACJM IV
BRKH020058972018,2022-08-22,31,ACJM IV,29,JM Ist.Class
BRKH020046842017,2017-12-20,5,C.J.M,19,A.C.J.M
BRKH020049242018,2019-06-12,19,A.C.J.M,24,ACJM III
BRKH020049242018,2022-06-08,24,ACJM III,36,J.M 1st Class
BRKH020008702018,2018-04-04,5,C.J.M,19,A.C.J.M
BRKH020046912017,2017-11-21,5,C.J.M,19,A.C.J.M
BRKH020044062016,2018-01-04,5,C.J.M,19,A.C.J.M
BRKH020013132017,2020-02-27,13,J.M.Ist. Class,31,ACJM IV
BRKH020013132017,2022-08-16,31,ACJM IV,30,JM Ist.Class
BRKH020014082018,2018-05-28,5,C.J.M,19,A.C.J.M
BRKH020006002018,2018-02-23,5,C.J.M,19,A.C.J.M
BRKH020059822019,2021-09-09,19,A.C.J.M,24,ACJM III
BRKH020059822019,2022-06-08,24,ACJM III,36,J.M 1st Class
BRKH020053962017,2018-01-11,5,C.J.M,19,A.C.J.M
BRKH020030162022,2022-12-06,5,C.J.M,25,JM Ist.Class
BRKH020055552018,2019-08-26,5,C.J.M,30,JM Ist Class
BRKH020000652018,2018-03-19,5,C.J.M,19,A.C.J.M
BRKH020044032016,2018-01-04,5,C.J.M,19,A.C.J.M
BRKH010027822022,2022-05-06,1,District and Sessions Judge,31,A.D.J. - V
BRKH020046872017,2017-08-26,5,C.J.M,19,A.C.J.M
BRKH020014102018,2018-05-29,5,C.J.M,19,A.C.J.M
BRKH020014072018,2018-05-21,5,C.J.M,19,A.C.J.M
BRKH020022372018,2019-03-18,5,C.J.M,13,J.M.Ist. Class
BRKH020022372018,2020-01-14,13,J.M.Ist. Class,31,ACJM IV
BRKH020022372018,2022-08-20,31,ACJM IV,35,JM Ist.Class
BRKH010004242021,2021-01-20,1,District and Sessions Judge,31,A.D.J. - V
BRKH020053932017,2018-01-11,5,C.J.M,19,A.C.J.M
BRKH020046852017,2017-12-20,5,C.J.M,19,A.C.J.M
BRKH020046882017,2017-11-20,5,C.J.M,19,A.C.J.M
BRKH020008712018,2018-04-04,5,C.J.M,19,A.C.J.M
BRKH020021562018,2022-06-14,19,A.C.J.M,35,JM Ist.Class
BRKH020006972015,2019-07-01,19,A.C.J.M,30,JM Ist Class
BRKH020006012018,2018-02-23,5,C.J.M,19,A.C.J.M
BRKH020014052018,2018-05-22,5,C.J.M,19,A.C.J.M
BRKH020049842020,2022-04-21,5,C.J.M,31,ACJM IV
BRKH020049842020,2022-08-17,31,ACJM IV,36,J.M 1st Class
BRKH020046202018,2019-07-08,27,JM Ist Class,30,JM Ist Class
BRKH020034362018,2019-12-02,8,S.D.J.M.,NA,NA
BRKH020034362018,2022-06-14,19,A.C.J.M,35,JM Ist.Class
BRKH020020622019,2019-11-25,5,C.J.M,24,ACJM III
BRKH020020622019,2022-06-08,24,ACJM III,36,J.M 1st Class
BRMZ020043632018,2020-05-04,1,CJM,6,ACJM-9
BRMZ020001602016,2019-12-19,10,ACJM-4,6,ACJM-9
BRMZ040026122018,2020-09-10,4,S.D.J.M West,2,"ACJM-2,WEST"
BRMZ010083732022,2022-07-05,1,District and Sessions Judge,3,ADJ-1
BRMZ010138392022,2022-10-20,1,District and Sessions Judge,28,ADJ-13
BRMZ020013352015,2019-12-20,16,"Court No. 6 of J.M 1st Class,East",27,"Court No. 5 of J.M 1st Class,East"
BRMZ040003282021,2022-08-20,1,"ACJM-1,WEST",14,"Court No-4,JMFC,West"
BRMZ040024442018,2020-09-19,4,S.D.J.M West,2,"ACJM-2,WEST"
BRMZ040011912018,2020-09-19,4,S.D.J.M West,2,"ACJM-2,WEST"
BRMZ020099782019,2019-12-04,1,CJM,15,"S.D.J.M,East"
BRMZ020099782019,2020-09-08,15,"S.D.J.M,East",6,ACJM-9
BRMZ020028382015,2021-12-14,2,"ACJM-1,East",35,"J.M 2nd Class,Muzaffarpur East"
BRMZ010067832021,2021-07-26,1,District and Sessions Judge,33,A.D.J-21
BRMZ040006752019,2019-02-15,1,"ACJM-1,WEST",4,S.D.J.M West
BRMZ040006752019,2020-08-28,4,S.D.J.M West,2,"ACJM-2,WEST"
BRMZ010014162017,2018-10-30,3,ADJ-1,NA,NA
BRMZ010014162017,2019-05-02,NA,NA,3,ADJ-1
BRMZ020006612015,2019-12-20,16,"Court No. 6 of J.M 1st Class,East",27,"Court No. 5 of J.M 1st Class,East"
BRMZ020028262012,2019-06-26,11,ACJM-10,21,"Court No. 10, J.M 1st Class"
TNMD070085762019,2019-10-11,13,Chief Judicial Magistrate,14,Additional Chief Judicial Magistrate
TNMD070108152019,2019-12-06,13,Chief Judicial Magistrate,14,Additional Chief Judicial Magistrate
TNMD070007092021,2021-02-04,13,Chief Judicial Magistrate,14,Additional Chief Judicial Magistrate
TNMD070099612019,2019-12-27,13,Chief Judicial Magistrate,14,Additional Chief Judicial Magistrate
TNMD070032422021,2021-04-17,13,Chief Judicial Magistrate,14,Additional Chief Judicial Magistrate
TNMD070032202020,2020-03-20,13,Chief Judicial Magistrate,14,Additional Chief Judicial Magistrate
TNMD070015442021,2021-02-22,13,Chief Judicial Magistrate,14,Additional Chief Judicial Magistrate
TNMD070156802022,2022-12-21,13,Chief Judicial Magistrate,14,Additional Chief Judicial Magistrate
TNMD070015432021,2021-02-22,13,Chief Judicial Magistrate,14,Additional Chief Judicial Magistrate
TNMD070156792022,2022-12-21,13,Chief Judicial Magistrate,14,Additional Chief Judicial Magistrate
TNMD070027402020,2022-06-17,13,Chief Judicial Magistrate,14,Additional Chief Judicial Magistrate
TNMD070006742022,2022-02-16,13,Chief Judicial Magistrate,14,Additional Chief Judicial Magistrate
TNMD070108162019,2019-12-06,13,Chief Judicial Magistrate,14,Additional Chief Judicial Magistrate
TNMD070015452021,2021-02-22,13,Chief Judicial Magistrate,14,Additional Chief Judicial Magistrate
TNMD070093822021,2021-12-02,13,Chief Judicial Magistrate,14,Additional Chief Judicial Magistrate
TNMD070099692020,2021-01-19,13,Chief Judicial Magistrate,14,Additional Chief Judicial Magistrate
TNED040049542019,2020-01-24,10,"Chief Judicial Magistrate, Erode",NA,"Chief Judicial Magistrate, Erode"
TNTH010054032019,2019-11-13,1,Principal District Court Theni,NA,Magalir Neethi Mandram Fast Track Theni
TNDP040003652016,2019-08-08,5,Judicial Magistrate No - I,15,Additional Mahila Court (Magisterial Level)
TNCH010413802022,2022-10-11,1,PRINCIPAL JUDGE,4,III ADDITIONAL JUDGE
TNCH0F0065492017,2019-06-26,6,X Metropolitan Magistrate,7,XIII Metropolitan Magistrate
TNCB0A0057572019,2019-04-10,21,Judicial Magistrate - I,20,Chief Judicial Magistrate
TNVR010002392020,2020-03-09,1,"Principal District Court, Srivilliputtur",NA,"Sub Court, Combined court Building , Sivakasi"
TNVL010021322020,2020-10-14,1,"Principal District Court, Vellore",NA,vlrscst
TNVL010008442020,2020-10-14,1,"Principal District Court, Vellore",NA,vlrscst
TNVL010015472020,2020-10-14,1,"Principal District Court, Vellore",NA,vlrscst
JHDH030035992016,2016-10-04,18,CJM,23,SDJM
JHRN030040522015,2022-06-28,19,J.M.F.C- XIX,16,J.M.F.C- XVI
JHDH030034242017,2017-09-26,18,CJM,38,REGISTRAR CUM JM
JHLH030011422017,2022-01-20,10,ACJM,13,JM I Class
JHLH030016402018,2022-06-04,5,S.D.J.M.,12,JM I Class
JHLH010003712021,2021-03-09,1,Principal District Judge,4,District and Addl Sessions Judge III
JHLH010008592016,2017-11-06,NA,NA,1,Principal District Judge
JHLH010008592016,2022-07-26,1,Principal District Judge,2,District Judge I
JHLH010002262016,2016-03-17,1,Principal District Judge,2,District Judge I
JHLH030004552020,2021-03-09,3,"Chief Judicial Magistrate, Lohardaga",NA,Principal District and Sessions Judge
JHLH030010932017,2017-09-11,3,"Chief Judicial Magistrate, Lohardaga",NA,Principal District and Sessions Judge
JHLH030002002015,2015-12-19,3,"Chief Judicial Magistrate, Lohardaga",NA,Principal District and Sessions Judge
JHLH030007762016,2019-05-04,10,ACJM,13,JM I Class
JHLH030007762016,2021-09-29,NA,NA,12,JM I Class
JHLH010002292017,2017-11-06,NA,NA,2,District and  Addl Sessions Judge I
JHLH010000312015,2019-08-03,1,Principal District Judge,4,District and Addl Sessions Judge III
JHLH010000312015,2019-08-22,4,District and Addl Sessions Judge III,2,District and  Addl Sessions Judge I
JHLH030002772015,2015-02-07,3,"Chief Judicial Magistrate, Lohardaga",NA,Principal District and Sessions Judge
JHLH030012572017,2019-02-22,3,CJM,12,JM I Class
JHLH030012572017,2020-02-19,12,JM I Class,3,CJM
JHLH030012572017,2022-04-27,3,"Chief Judicial Magistrate, Lohardaga",NA,Principal District and Sessions Judge
JHLH030016222017,2019-01-15,3,CJM,12,JM I Class
JHLH010006812016,2017-04-04,2,District Judge I,1,Principal District Judge
JHLH010006812016,2019-07-24,1,Principal District Judge,3,District and Addl Sessions Judge II
JHLH030004962016,2017-02-27,3,CJM,10,ACJM
JHLH030001252016,2016-05-13,3,"Chief Judicial Magistrate, Lohardaga",NA,Principal District and Sessions Judge
JHLH030002322015,2015-06-20,3,"Chief Judicial Magistrate, Lohardaga",NA,Principal District and Sessions Judge
JHLH030002822015,2015-02-13,3,"Chief Judicial Magistrate, Lohardaga",NA,Principal District and Sessions Judge
JHLH010005212016,2019-07-29,1,Principal District Judge,4,District and Addl Sessions Judge III
JHLH010004272016,2016-07-19,1,Principal District Judge,2,District Judge I
JHLH010004272016,2017-04-03,2,District Judge I,1,Principal District Judge
JHLH010006742015,2015-08-13,2,District Judge I,3,District Judge II
JHLH010006742015,2015-08-17,3,District Judge II,2,District Judge I
JHLH030008032017,2022-01-20,10,ACJM,13,JM I Class
JHLH030012092017,2018-09-17,3,CJM,12,JM I Class
JHLH010011962017,2019-08-07,1,Principal District Judge,5,District and Addl Sessions Judge IV
JHLH010011962017,2022-03-15,5,District and Additional Sessions Judge-IV (Incharge),4,District and Addl Sessions Judge III
JHLH010012522020,2020-12-14,1,Principal District Judge,3,District and Addl Sessions Judge II
JHLH010012522020,2021-09-15,NA,NA,5,District and Addl Sessions Judge IV
JHLH010012522020,2022-03-15,5,District and Additional Sessions Judge-IV (Incharge),1,Principal District Judge
JHLH030003042015,2015-02-21,3,"Chief Judicial Magistrate, Lohardaga",NA,Principal District and Sessions Judge
JHLH030006102018,2018-06-02,3,"Chief Judicial Magistrate, Lohardaga",NA,Principal District and Sessions Judge
JHLH030002272016,2016-07-12,3,"Chief Judicial Magistrate, Lohardaga",NA,Principal District and Sessions Judge
JHLH030018382020,2020-12-14,3,"Chief Judicial Magistrate, Lohardaga",NA,Principal District and Sessions Judge
JHLH010003612016,2016-05-13,1,Principal District Judge,2,District Judge I
JHLH030010652016,2016-12-20,3,"Chief Judicial Magistrate, Lohardaga",NA,Principal District and Sessions Judge
JHLH030011142016,2017-03-07,3,"Chief Judicial Magistrate, Lohardaga",NA,Principal District and Sessions Judge
JHLH010011332016,2017-03-17,2,District Judge I,1,Principal District Judge
JHLH010011332016,2017-03-17,1,Principal District Judge,2,District Judge I
JHLH030002262016,2016-06-24,3,"Chief Judicial Magistrate, Lohardaga",NA,Principal District and Sessions Judge
JHLH030001992016,2016-06-02,3,"Chief Judicial Magistrate, Lohardaga",NA,Principal District and Sessions Judge
JHLH010005712016,2016-07-12,1,Principal District Judge,3,District Judge II
JHLH010005712016,2017-11-06,NA,NA,2,District and  Addl Sessions Judge I
JHSG030017792016,2017-02-08,5,C.J.M cum Sr. Civil Judge II,11,JUDICIAL MAGISTRATE
JHSG030017792016,2018-04-19,11,JUDICIAL MAGISTRATE,5,C.J.M cum Sr. Civil Judge II
JHSG030012912017,2022-01-17,10,S.D.J.M.,5,C.J.M cum Sr. Civil Judge II
JHSG030012912017,2022-02-28,5,C.J.M cum Sr. Civil Judge II,13,JUDICIAL MAGISTRATE
JHSG030012912017,2022-09-14,13,JUDICIAL MAGISTRATE,5,C.J.M cum Sr. Civil Judge II
JHSG010007622022,2023-01-17,7,Principal District Judge Espb,NA,District and Sessions Judge Rajmahal
JHSG010010482022,2022-07-29,3,District and Additional Sessions Judge I,10,"District And Additional Sessions Judge -III-cum-Special Judge,Pocso Act"
JHSG010015262021,2022-03-16,3,District and Additional Sessions Judge I,9,District and Additional Sessions JudgeII
JHSG010015262021,2022-04-16,9,District and Additional Sessions JudgeII,3,District and Additional Sessions Judge I
JHSG010008262019,2019-07-30,3,District and Additional Sessions Judge I,8,DISTRICT AND ADDITIONAL SESSIONS JUDGE III
JHSG010008262019,2022-04-22,8,DISTRICT AND ADDITIONAL SESSIONS JUDGE III,3,District and Additional Sessions Judge I
JHSG010008262019,2022-12-13,3,District and Additional Sessions Judge I,10,"District And Additional Sessions Judge -III-cum-Special Judge,Pocso Act"
JHSG030017772016,2017-01-07,5,C.J.M cum Sr. Civil Judge II,11,JUDICIAL MAGISTRATE
JHSG030017772016,2018-04-20,11,JUDICIAL MAGISTRATE,5,C.J.M cum Sr. Civil Judge II
JHJM030018132017,2018-04-09,4,Civil Judge (Senior Division)-1 cum A.C.J.M,3,C.J.M cum Civil Judge Senior Division-II
JHJM030018132017,2021-09-21,3,C.J.M cum Civil Judge Senior Division-II,7,Civil Judge(Junior Division)-III cum J.M 1st class
JHJM030018132017,2022-04-26,7,Judicial Magistrate Ist Class,6,Civil Judge (Junior Division)-1 cum S.D.J.M
JHJM030039062018,2019-06-24,4,Civil Judge (Senior Division)-1 cum A.C.J.M,6,Civil Judge (Junior Division)-1 cum S.D.J.M
JHJM030017912017,2017-11-06,8,Civil Judge(Junior Division)-III cum J.M 1st class,6,Civil Judge (Junior Division)-1 cum S.D.J.M
JHJM030017912017,2018-04-06,6,Civil Judge (Junior Division)-1 cum S.D.J.M,3,C.J.M cum Civil Judge Senior Division-II
JHJM030017912017,2019-11-11,3,C.J.M cum Civil Judge Senior Division-II,6,Civil Judge (Junior Division)-1 cum S.D.J.M
JHJM030017912017,2021-09-23,6,Civil Judge (Junior Division)-1 cum S.D.J.M,8,Civil Judge (Junior Division)-II cum J.M 1 class
JHJM030018032017,2019-11-06,6,Civil Judge (Junior Division)-1 cum S.D.J.M,4,Civil Judge (Senior Division)-1 cum A.C.J.M
JHJM030018032017,2021-09-30,4,Civil Judge (Senior Division)-1 cum A.C.J.M,6,Civil Judge (Junior Division)-1 cum S.D.J.M
JHJM030018032017,2022-04-23,6,Civil Judge (Junior Division)-1 cum S.D.J.M,4,Civil Judge (Senior Division)-1 cum A.C.J.M
JHPL030000792017,2017-11-06,NA,NA,15,Judicial Magistrate 1st Class
JHPL030000792017,2019-11-14,15,Judicial Magistrate 1st Class,25,Judicial Magistrate 1st Class
JHPL030033842016,2017-11-21,NA,NA,15,Judicial Magistrate 1st Class
JHPL030033842016,2019-09-18,15,Judicial Magistrate 1st Class,18,Judicial Magistrate 1st Class
JHPL030033842016,2022-01-19,18,Judicial Magistrate 1st Class,29,Judicial Magistrate 1st Class
JHPL030033832016,2022-05-12,10,SDJM,30,Judicial Magistrate 1st Class
JHPL030047922017,2019-08-22,6,CJM,17,Judicial Magistrate 1st Class
JHPL030047902017,2019-08-22,6,CJM,17,Judicial Magistrate 1st Class
JHPL030047902017,2022-01-19,17,Judicial Magistrate 1st Class,29,Judicial Magistrate 1st Class
JHPL030025142020,2022-01-11,6,CJM,15,Judicial Magistrate 1st Class
JHPL030047932017,2019-08-22,6,CJM,17,Judicial Magistrate 1st Class
JHPL030000782017,2022-05-07,10,SDJM,22,Judicial Magistrate 1st Class
JHPL030000782017,2022-07-02,NA,NA,28,Judicial Magistrate 1st Class
JHPL030000262017,2019-08-22,6,CJM,17,Judicial Magistrate 1st Class
JHPL030062752021,2022-01-11,6,CJM,15,Judicial Magistrate 1st Class
JHRN030080672016,2017-03-02,3,Chief Judicial Magistrate Establishment Ranchi,NA,Principal District and Sessions judge
JHRN010042612015,2015-09-07,1,Judicial Commissioner,4,Addl. District and Sess. Judge I
JHRN010097552018,2018-12-21,1,Judicial Commissioner,20,District and Addl.  Sessions Judge XIII
JHRN030095152016,2019-07-05,2,A.C.J.M,19,J.M.F.C- XIX
JHRN010058762022,2022-06-02,1,Judicial Commissioner,7,Addl. District and Sess. Judge IV
JHRN030011822021,2021-03-19,28,Chief Judicial Magistrate Establishment Ranchi,NA,Principal District and Sessions judge
JHRN010092912018,2018-12-10,1,Judicial Commissioner,16,Addl. District and Sess. Judge VI
JHRN030003172017,2019-07-22,2,A.C.J.M,19,J.M.F.C- XIX
JHRN030003172017,2022-07-11,19,J.M.F.C- XIX,16,J.M.F.C- XVI
JHRN010020472019,2019-03-02,1,Judicial Commissioner,11,Addl. District and Sessions Judge XVIII
JHRN010031692018,2018-04-18,1,Judicial Commissioner,2,Addl District and Sessions Judge XVI
JHRN030014402021,2022-01-13,11,J.M.F.C- XI,29,JMFC-XXIX
JHRN030152092019,2022-07-11,19,J.M.F.C- XIX,16,J.M.F.C- XVI
JHRN010023582021,2021-04-01,1,Judicial Commissioner,16,Addl. District and Sess. Judge VI
JHRN010023582021,2022-02-24,16,Addl. District and Sess. Judge VI,12,Addl. District and Sess. Judge X
JHRN010023582021,2022-03-22,12,Addl. District and Sess. Judge X,4,"District and Addl.  Sessions Judge I,Cum Spl.Judge CBI"
JHRN010074812022,2022-07-08,1,Judicial Commissioner,7,Addl. District and Sess. Judge IV
JHRN010055082022,2022-05-21,1,Judicial Commissioner,7,Addl. District and Sess. Judge IV
JHRN010012022019,2019-02-07,1,Judicial Commissioner,3,District and Addl.  Sessions Judge XII
JHRN010079502017,2017-12-12,1,Judicial Commissioner,16,Addl. District and Sess. Judge VI
JHRN010046162021,2021-07-17,1,Judicial Commissioner,7,Addl. District and Sess. Judge IV
JHRN030010612016,2019-06-28,2,A.C.J.M,19,J.M.F.C- XIX
JHRN030010612016,2022-07-06,19,J.M.F.C- XIX,16,J.M.F.C- XVI
JHRN010031582015,2015-07-04,1,Judicial Commissioner,4,Addl. District and Sess. Judge I
JHRN010031582015,2018-06-20,4,Addl. District and Sess. Judge I,11,Addl. District and Sessions Judge XVIII
JHRN010013172021,2021-02-17,1,Judicial Commissioner,4,"District and Addl.  Sessions Judge I,Cum Spl.Judge CBI"
JHRN010046062017,2017-07-04,1,Judicial Commissioner,12,District and Addl.  Sessions Judge X
JHRN010032482018,2018-04-20,1,Judicial Commissioner,10,Addl. District and Sess. Judge VII
JHRN010011952019,2019-02-07,1,Judicial Commissioner,3,District and Addl.  Sessions Judge XII
JHRN030140272022,2022-12-19,1,C.J.M,4,J.M.F.C- IV
JHRN010086542018,2018-11-19,1,Judicial Commissioner,4,Addl. District and Sess. Judge I
JHRN030002142018,2019-06-21,5,S.D.J.M.,22,J.M.F.C- XXII
JHRN030069362017,2019-11-08,2,A.C.J.M,19,J.M.F.C- XIX
JHRN030069362017,2022-07-18,19,J.M.F.C- XIX,16,J.M.F.C- XVI
JHRN010030902017,2017-05-06,1,Judicial Commissioner,4,Addl. District and Sess. Judge I
JHRN010061112017,2017-11-07,1,Judicial Commissioner,8,Addl. District and Sess. Judge V
JHRN010136832022,2022-12-15,1,Judicial Commissioner,7,Addl. District and Sess. Judge IV
JHRN030078732020,2020-10-14,21,J.M.F.C- XXI,23,J.M.F.C- XXIII
