CIN/LLPIN,Legal_Name,Purchaser_Entries,Donor_Type,TotalNumberBonds,TotalDonorAmount,PayBranchCodes,PayTellers
U74999WB2012PTC174637,SASMAL INFRASTRUCTURE PRIVATE LIMITED,SASMAL INFRASTRUCTURE PRIVATE LIMITED,SASMAL INFRASTRUCTURE PRIVATE LIMITED,1,440000000,1,5898161;6563457
U67120MH1994PTC078840,PHL FININVEST PRIVATE LIMITED,PHL FINIVEST PVT LTD,PHL FININVEST PRIVATE LIMITED,1,400000000,300,4180496
U31401TG2010PLC069777,SHIRDI SAI ELECTRICALS LIMITED,SHIRDI SAI ELECTRICALS LTD,SHIRDI SAI ELECTRICALS LIMITED,1,400000000,847,6458726
U74210PN2000PTC014696,LAXMI CIVIL ENGINEERING SERVICES PRIVATE LIMITED,LAXMI CIVIL ENGINEERING SERVICES PR,LAXMI CIVIL ENGINEERING SERVICES PRIVATE LIMITED,1,400000000,300,7905165
U93090TN1995PTC030660,SEPC POWER PRIVATE LIMITED,SEPC POWER PVT LTD OPERATION RETEN,SEPC POWER PRIVATE LIMITED,1,400000000,847,6458726
L24239MH1935PLC002380,CIPLA LIMITED,CIPLA LTD;CIPLA LIMITED,CIPLA LIMITED,2,392000000,300,7905165;2836831;4180496
U92200DL2006PLC156075,BHARTI TELEMEDIA LIMITED,BHARTI TELEMEDIA LIMITED,BHARTI TELEMEDIA LIMITED,1,370000000,691,8212066;7516991
U32300DL2011PTC215856,NEXG DEVICES PRIVATE LIMITED,NEXG DEVICES PVT LTD,NEXG DEVICES PRIVATE LIMITED,1,350000000,691,5972302;3300196
AAB-5357,SAFAL GOYAL REALTY LLP,SAFAL GOYAL REALTY LLP,SAFAL GOYAL REALTY LLP,1,350000000,1355,1023671
L26940MH2000PLC128420,ULTRATECH CEMENT LIMITED,ULTRATECHCEMENTSLTD;ULTRA TECH CEMENT LIMITED,ULTRATECH CEMENT LIMITED,2,350000000,300,7905165;4180496;1022034;2836831
U24110MH1979PLC136661,SWAL CORPORATION LIMITED,SWAL CORPORATION LIMITED,SWAL CORPORATION LIMITED,1,350000000,300,7905165;4180496
U70101WB2004PLC099945,CRESCENT POWER LIMITED,CRESCENT POWER LTD,CRESCENT POWER LIMITED,1,340000000,1,6405134;5054982;5899230
L51909UP1992PLC051997,GENUS POWER INFRASTRUCTURES LIMITED,GENUS POWER INFRASTRUCTURES LIMITED;GENUS POWER INFRASTRUCTURES LTD,GENUS POWER INFRASTRUCTURES LIMITED,2,335000000,656,6987052;6936652;7515103;6987052
L17124MP1947PLC000410,GRASIM INDUSTRIES LTD,GRASIM INDUSTRIES LTD,GRASIM INDUSTRIES LTD,1,330000000,300,6830668;4180496
U45500GJ2017PTC100301,LCC PROJECTS PRIVATE LIMITED,LCCPROJECTSPRIVATELIMITED,LCC PROJECTS PRIVATE LIMITED,1,315000000,1355,1023671
U51909WB1981PLC034036,PENGUIN TRADING & AGENCIES LIMITED,PENGUIN TRADING & AGENCIES LIMITED;PENGUIN TRADING AND AGENCIES LTD,PENGUIN TRADING & AGENCIES LIMITED,2,305000000,1;1;41,6405134;4455428;5899230;6405134
U65921WB1993PTC126787,KAMNA CREDITS AND PROMOTERS PRIVATE LIMITED,KAMNA CREDITS AND PROMOTORS PVT LTD,KAMNA CREDITS AND PROMOTERS PRIVATE LIMITED,1,305000000,1,5898161;6563457;6405134
U24230TG1993PLC015582,HETERO DRUGS LIMITED,HETERO DRUGS LIMITED,HETERO DRUGS LIMITED,1,300000000,847,3898296;8233225
AAT-4307,APARNA FARMS AND ESTATES LLP,APARNA FARMS AND ESTATES LLP,APARNA FARMS AND ESTATES LLP,1,300000000,847,6458726
L26922HR1980PLC010901,JINDAL STAINLESS LIMITED,JINDAL STAINLESS LTD,JINDAL STAINLESS LIMITED,1,300000000,691,8212066;5972302
U51432UP1992PTC013969,APCO INFRATECH PRIVATE LIMITED,APCO INFRATECH PRIVATE LTD;APCO INFRATECH PVT LTD FORMERLY AP;APCO INFRATECH PRIVATE LIMITED,APCO INFRATECH PRIVATE LIMITED,3,300000000,125,6596169;5918359;2526611
U45201MH2006PTC163785,HONEYWELL PROPERTIES PRIVATE LIMITED,HONEYWELL PROPERTIES PVT LTD,HONEYWELL PROPERTIES PRIVATE LIMITED,1,300000000,300,4180496
U51900GJ1989PLC079501,ZYDUS HEALTHCARE LIMITED,ZYDUS HEALTHCARE LIMITED,ZYDUS HEALTHCARE LIMITED,1,290000000,1355,1023671
L27104UP1984PLC023979,JINDAL SAW LIMITED,JINDAL SAW LIMITED,JINDAL SAW LIMITED,1,290000000,691,3428540;8212066;3723135
U15100WB2013PTC193253,WESTWELL GASES PRIVATE LIMITED,WESTWELL GASES PRIVATE LIMITED,WESTWELL GASES PRIVATE LIMITED,1,285000000,1,5898161;5054982;6405134
L27100GJ1995PLC025609,WELSPUN CORP LIMITED,WELSPUN CORP LIMITED;WELSPUN CORP LTD,WELSPUN CORP LIMITED,2,270000000,300,7905165;7905165;6830668;4180496
U27109WB2004PLC097737,RASHMI METALIKS LIMITED,RASHMI METALIKS LTD,RASHMI METALIKS LIMITED,1,270000000,1,6405134
U24239TG2004PTC044631,MSN PHARMACHEM PRIVATE LIMITED,MSN PHARMACHEM PVT LTD,MSN PHARMACHEM PRIVATE LIMITED,1,260000000,847,3898296;6458726
L40100GJ1981PLC004281,KALPATARU POWER TRANSMISSION LIMITED,KALPATARU PROJECTS INTERNATIONAL LIMITED,KALPATARU POWER TRANSMISSION LIMITED,1,255000000,1355,5120497;1023671
U45202MH2000PTC130112,NKT ROAD AND TOLL PRIVATE LIMITED,IRB MP EXPRESSWAY PRIVATE LIMITED,NKT ROAD AND TOLL PRIVATE LIMITED,1,250000000,300,7905165
U45200MH1999PTC117748,INORBIT MALLS (INDIA) PRIVATE LIMITED,INORBIT MALLS INDIA PRIVATE LIMIT;INORBIT MALLS INDIA PRIVATE LIMITED,INORBIT MALLS (INDIA) PRIVATE LIMITED,2,250000000,300,7905165;1022034;7905165
AAC-8699,MAATHA PROJECTS LLP,MAATHA PROJECTS LLP,MAATHA PROJECTS LLP,1,250000000,847,7445512;6458726
U70109DL2013PLC258889,DLF LUXURY HOMES LIMITED,DLF LUXURY HOMES LIMITED,DLF LUXURY HOMES LIMITED,1,250000000,691,2039265;5972302;7516991
L24110MH1947PLC005719,PIRAMAL ENTERPRISES LIMITED,PIRAMAL ENTERPRISES LIMITED,PIRAMAL ENTERPRISES LIMITED,1,250000000,300,7905165
U24110TG1989PLC009723,HETERO LABS LIMITED,HETERO LABS LIMITED,HETERO LABS LIMITED,1,250000000,847,3898296;6458726
U24233TG2011PLC077561,HONOUR LAB LIMITED,HONOUR LAB LTD;HONOUR LAB LIMITED,HONOUR LAB LIMITED,2,250000000,847,3898296;8233225;7445512
L51109WB1982PLC035088,AUTHUM INVESTMENT & INFRASTRUCTURE LIMITED,AUTHUM INVESTMENT AND INFRASTRUCTURE LTD,AUTHUM INVESTMENT & INFRASTRUCTURE LIMITED,1,250000000,300,7905165
L65990MH1945PLC004558,MAHINDRA AND MAHINDRA LIMITED,MAHINDRA & MAHINDRA LTD,MAHINDRA AND MAHINDRA LIMITED,1,250000000,691,5972302
U45200TG2007PTC055439,MY HOME INFRASTRUCTURES PRIVATE LIMITED,MY HOME INFRASTRUCTURES PRIVATE LI;MY HOME INFRASTRUCTURES PVT LTD MY,MY HOME INFRASTRUCTURES PRIVATE LIMITED,2,245000000,847,6458726;7445512
