Category,State/UT,Offense_Category,Offense_Subcategory,Incidents
State,Kerala,Non-Custodial,Relative/Guardian/Teacher/person in position of trust,204
State,Madhya Pradesh,Non-Custodial,Relative/Guardian/Teacher/person in position of trust,140
State,Maharashtra,Non-Custodial,Relative/Guardian/Teacher/person in position of trust,89
State,Manipur,Non-Custodial,Relative/Guardian/Teacher/person in position of trust,4
State,Meghalaya,Non-Custodial,Relative/Guardian/Teacher/person in position of trust,2
State,Mizoram,Non-Custodial,Relative/Guardian/Teacher/person in position of trust,3
State,Nagaland,Non-Custodial,Relative/Guardian/Teacher/person in position of trust,0
State,Odisha,Non-Custodial,Relative/Guardian/Teacher/person in position of trust,424
State,Punjab,Non-Custodial,Relative/Guardian/Teacher/person in position of trust,8
State,Rajasthan,Non-Custodial,Relative/Guardian/Teacher/person in position of trust,481
State,Sikkim,Non-Custodial,Relative/Guardian/Teacher/person in position of trust,0
State,Tamil Nadu,Non-Custodial,Relative/Guardian/Teacher/person in position of trust,14
State,Telangana,Non-Custodial,Relative/Guardian/Teacher/person in position of trust,9
State,Tripura,Non-Custodial,Relative/Guardian/Teacher/person in position of trust,0
State,Uttar Pradesh,Non-Custodial,Relative/Guardian/Teacher/person in position of trust,27
State,Uttarakhand,Non-Custodial,Relative/Guardian/Teacher/person in position of trust,143
State,West Bengal,Non-Custodial,Relative/Guardian/Teacher/person in position of trust,0
UT,Andaman & Nicobar Islands,Non-Custodial,Relative/Guardian/Teacher/person in position of trust,0
UT,Chandigarh,Non-Custodial,Relative/Guardian/Teacher/person in position of trust,0
UT,Dadra & Nagar Haveli,Non-Custodial,Relative/Guardian/Teacher/person in position of trust,0
UT,Daman & Diu,Non-Custodial,Relative/Guardian/Teacher/person in position of trust,0
UT,Delhi,Non-Custodial,Relative/Guardian/Teacher/person in position of trust,5
UT,Lakshadweep,Non-Custodial,Relative/Guardian/Teacher/person in position of trust,0
UT,Puducherry,Non-Custodial,Relative/Guardian/Teacher/person in position of trust,0
State,Andhra Pradesh,Non-Custodial,Pregnant Women,0
State,Arunachal Pradesh,Non-Custodial,Pregnant Women,0
State,Assam,Non-Custodial,Pregnant Women,0
State,Bihar,Non-Custodial,Pregnant Women,0
State,Chhattisgarh,Non-Custodial,Pregnant Women,2
State,Goa,Non-Custodial,Pregnant Women,0
State,Gujarat,Non-Custodial,Pregnant Women,1
State,Haryana,Non-Custodial,Pregnant Women,4
State,Himachal Pradesh,Non-Custodial,Pregnant Women,0
State,Jammu & Kashmir,Non-Custodial,Pregnant Women,0
State,Jharkhand,Non-Custodial,Pregnant Women,0
State,Karnataka,Non-Custodial,Pregnant Women,0
State,Kerala,Non-Custodial,Pregnant Women,1
State,Madhya Pradesh,Non-Custodial,Pregnant Women,11
State,Maharashtra,Non-Custodial,Pregnant Women,6
State,Manipur,Non-Custodial,Pregnant Women,0
State,Meghalaya,Non-Custodial,Pregnant Women,0
State,Mizoram,Non-Custodial,Pregnant Women,0
State,Nagaland,Non-Custodial,Pregnant Women,0
State,Odisha,Non-Custodial,Pregnant Women,0
State,Punjab,Non-Custodial,Pregnant Women,0
State,Rajasthan,Non-Custodial,Pregnant Women,3
State,Sikkim,Non-Custodial,Pregnant Women,0
State,Tamil Nadu,Non-Custodial,Pregnant Women,0
State,Telangana,Non-Custodial,Pregnant Women,6
State,Tripura,Non-Custodial,Pregnant Women,0
State,Uttar Pradesh,Non-Custodial,Pregnant Women,0
State,Uttarakhand,Non-Custodial,Pregnant Women,1
State,West Bengal,Non-Custodial,Pregnant Women,0
UT,Andaman & Nicobar Islands,Non-Custodial,Pregnant Women,0
UT,Chandigarh,Non-Custodial,Pregnant Women,0
UT,Dadra & Nagar Haveli,Non-Custodial,Pregnant Women,0
UT,Daman & Diu,Non-Custodial,Pregnant Women,0
UT,Delhi,Non-Custodial,Pregnant Women,0
UT,Lakshadweep,Non-Custodial,Pregnant Women,0
UT,Puducherry,Non-Custodial,Pregnant Women,0
State,Andhra Pradesh,Non-Custodial,Women Below 16 years of age,101
State,Arunachal Pradesh,Non-Custodial,Women Below 16 years of age,4
State,Assam,Non-Custodial,Women Below 16 years of age,1
State,Bihar,Non-Custodial,Women Below 16 years of age,0
State,Chhattisgarh,Non-Custodial,Women Below 16 years of age,77
State,Goa,Non-Custodial,Women Below 16 years of age,7
State,Gujarat,Non-Custodial,Women Below 16 years of age,0
