Year,State_UT,Is_Detailed_Subcategory,Count,Crime_Head_Standardized,Crime_Head_Subcategory
2001,Nagaland,False,1.0,Human Trafficking,Immoral Traffic (Prevention) Act
2001,Nagaland,False,0.0,Special & Local Laws,Indecent Representation of Women Act
2001,Nagaland,False,0.0,Assault & Sexual Harassment,Insult to Modesty of Women
2001,Nagaland,False,6.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2001,Nagaland,False,17.0,Rape & Attempted Rape,Rape (General/Other)
2001,Odisha,False,1655.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2001,Odisha,False,1266.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
2001,Odisha,False,294.0,Cruelty & Dowry Offenses,Dowry Death
2001,Odisha,False,24.0,Human Trafficking,Immoral Traffic (Prevention) Act
2001,Odisha,False,0.0,Special & Local Laws,Indecent Representation of Women Act
2001,Odisha,False,458.0,Assault & Sexual Harassment,Insult to Modesty of Women
2001,Odisha,False,434.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2001,Odisha,False,790.0,Rape & Attempted Rape,Rape (General/Other)
2001,Puducherry,False,35.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2001,Puducherry,False,3.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
2001,Puducherry,False,1.0,Cruelty & Dowry Offenses,Dowry Death
2001,Puducherry,False,39.0,Human Trafficking,Immoral Traffic (Prevention) Act
2001,Puducherry,False,0.0,Special & Local Laws,Indecent Representation of Women Act
2001,Puducherry,False,27.0,Assault & Sexual Harassment,Insult to Modesty of Women
2001,Puducherry,False,3.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2001,Puducherry,False,9.0,Rape & Attempted Rape,Rape (General/Other)
2001,Punjab,False,372.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2001,Punjab,False,1128.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
2001,Punjab,False,159.0,Cruelty & Dowry Offenses,Dowry Death
2001,Punjab,False,32.0,Human Trafficking,Immoral Traffic (Prevention) Act
2001,Punjab,False,1.0,Special & Local Laws,Indecent Representation of Women Act
2001,Punjab,False,47.0,Assault & Sexual Harassment,Insult to Modesty of Women
2001,Punjab,False,324.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2001,Punjab,False,298.0,Rape & Attempted Rape,Rape (General/Other)
2001,Rajasthan,False,2878.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2001,Rajasthan,False,5532.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
2001,Rajasthan,False,376.0,Cruelty & Dowry Offenses,Dowry Death
2001,Rajasthan,False,68.0,Human Trafficking,Immoral Traffic (Prevention) Act
2001,Rajasthan,False,46.0,Special & Local Laws,Indecent Representation of Women Act
2001,Rajasthan,False,56.0,Assault & Sexual Harassment,Insult to Modesty of Women
2001,Rajasthan,False,2165.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2001,Rajasthan,False,1049.0,Rape & Attempted Rape,Rape (General/Other)
2001,Sikkim,False,0.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2001,Sikkim,False,0.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
2001,Sikkim,False,0.0,Cruelty & Dowry Offenses,Dowry Death
2001,Sikkim,False,0.0,Human Trafficking,Immoral Traffic (Prevention) Act
2001,Sikkim,False,0.0,Special & Local Laws,Indecent Representation of Women Act
2001,Sikkim,False,14.0,Assault & Sexual Harassment,Insult to Modesty of Women
2001,Sikkim,False,2.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2001,Sikkim,False,8.0,Rape & Attempted Rape,Rape (General/Other)
2001,Tamil Nadu,False,1773.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2001,Tamil Nadu,False,815.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
2001,Tamil Nadu,False,191.0,Cruelty & Dowry Offenses,Dowry Death
2001,Tamil Nadu,False,5232.0,Human Trafficking,Immoral Traffic (Prevention) Act
2001,Tamil Nadu,False,11.0,Special & Local Laws,Indecent Representation of Women Act
2001,Tamil Nadu,False,1012.0,Assault & Sexual Harassment,Insult to Modesty of Women
2001,Tamil Nadu,False,607.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2001,Tamil Nadu,False,423.0,Rape & Attempted Rape,Rape (General/Other)
2001,Tripura,False,58.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2001,Tripura,False,227.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
2001,Tripura,False,16.0,Cruelty & Dowry Offenses,Dowry Death
2001,Tripura,False,0.0,Human Trafficking,Immoral Traffic (Prevention) Act
2001,Tripura,False,0.0,Special & Local Laws,Indecent Representation of Women Act
2001,Tripura,False,0.0,Assault & Sexual Harassment,Insult to Modesty of Women
2001,Tripura,False,35.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2001,Tripura,False,102.0,Rape & Attempted Rape,Rape (General/Other)
2001,Uttar Pradesh,False,2870.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2001,Uttar Pradesh,False,7365.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
2001,Uttar Pradesh,False,2211.0,Cruelty & Dowry Offenses,Dowry Death
2001,Uttar Pradesh,False,26.0,Human Trafficking,Immoral Traffic (Prevention) Act
2001,Uttar Pradesh,False,3.0,Special & Local Laws,Indecent Representation of Women Act
2001,Uttar Pradesh,False,2575.0,Assault & Sexual Harassment,Insult to Modesty of Women
2001,Uttar Pradesh,False,2879.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2001,Uttar Pradesh,False,1958.0,Rape & Attempted Rape,Rape (General/Other)
2001,Uttarakhand,False,103.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2001,Uttarakhand,False,301.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
2001,Uttarakhand,False,56.0,Cruelty & Dowry Offenses,Dowry Death
2001,Uttarakhand,False,0.0,Human Trafficking,Immoral Traffic (Prevention) Act
2001,Uttarakhand,False,0.0,Special & Local Laws,Indecent Representation of Women Act
2001,Uttarakhand,False,84.0,Assault & Sexual Harassment,Insult to Modesty of Women
2001,Uttarakhand,False,126.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2001,Uttarakhand,False,74.0,Rape & Attempted Rape,Rape (General/Other)
2001,West Bengal,False,954.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2001,West Bengal,False,3859.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
2001,West Bengal,False,265.0,Cruelty & Dowry Offenses,Dowry Death
2001,West Bengal,False,31.0,Human Trafficking,Immoral Traffic (Prevention) Act
2001,West Bengal,False,0.0,Special & Local Laws,Indecent Representation of Women Act
2001,West Bengal,False,48.0,Assault & Sexual Harassment,Insult to Modesty of Women
2001,West Bengal,False,695.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2001,West Bengal,False,709.0,Rape & Attempted Rape,Rape (General/Other)
2002,Andaman & Nicobar Islands,False,17.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2002,Andaman & Nicobar Islands,False,4.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
2002,Andaman & Nicobar Islands,False,0.0,Cruelty & Dowry Offenses,Dowry Death
2002,Andaman & Nicobar Islands,False,0.0,Human Trafficking,Immoral Traffic (Prevention) Act
2002,Andaman & Nicobar Islands,False,0.0,Special & Local Laws,Indecent Representation of Women Act
2002,Andaman & Nicobar Islands,False,3.0,Assault & Sexual Harassment,Insult to Modesty of Women
2002,Andaman & Nicobar Islands,False,1.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2002,Andaman & Nicobar Islands,False,2.0,Rape & Attempted Rape,Rape (General/Other)
2002,Andhra Pradesh,False,3799.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2002,Andhra Pradesh,False,7018.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
2002,Andhra Pradesh,False,449.0,Cruelty & Dowry Offenses,Dowry Death
2002,Andhra Pradesh,False,871.0,Human Trafficking,Immoral Traffic (Prevention) Act
2002,Andhra Pradesh,False,2403.0,Special & Local Laws,Indecent Representation of Women Act
2002,Andhra Pradesh,False,2024.0,Assault & Sexual Harassment,Insult to Modesty of Women
2002,Andhra Pradesh,False,854.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2002,Andhra Pradesh,False,1002.0,Rape & Attempted Rape,Rape (General/Other)
2002,Arunachal Pradesh,False,68.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2002,Arunachal Pradesh,False,13.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
2002,Arunachal Pradesh,False,0.0,Cruelty & Dowry Offenses,Dowry Death
2002,Arunachal Pradesh,False,0.0,Human Trafficking,Immoral Traffic (Prevention) Act
2002,Arunachal Pradesh,False,0.0,Special & Local Laws,Indecent Representation of Women Act
2002,Arunachal Pradesh,False,2.0,Assault & Sexual Harassment,Insult to Modesty of Women
2002,Arunachal Pradesh,False,38.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2002,Arunachal Pradesh,False,38.0,Rape & Attempted Rape,Rape (General/Other)
2002,Assam,False,984.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2002,Assam,False,1694.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
2002,Assam,False,70.0,Cruelty & Dowry Offenses,Dowry Death
2002,Assam,False,24.0,Human Trafficking,Immoral Traffic (Prevention) Act
2002,Assam,False,3.0,Special & Local Laws,Indecent Representation of Women Act
2002,Assam,False,7.0,Assault & Sexual Harassment,Insult to Modesty of Women
2002,Assam,False,1276.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2002,Assam,False,970.0,Rape & Attempted Rape,Rape (General/Other)
2002,Bihar,False,621.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2002,Bihar,False,1577.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
