city,Crime,person_count,Arrested_Gender
Ahmedabad,Persons Arrested in Cases Registered during the year,322,Female
Amritsar,Persons Arrested in Cases Registered during the year,28,Female
Asansol,Persons Arrested in Cases Registered during the year,73,Female
Aurangabad,Persons Arrested in Cases Registered during the year,43,Female
Bengaluru,Persons Arrested in Cases Registered during the year,1643,Female
Bhopal,Persons Arrested in Cases Registered during the year,47,Female
Chandigarh City,Persons Arrested in Cases Registered during the year,11,Female
Chennai,Persons Arrested in Cases Registered during the year,77,Female
Coimbatore,Persons Arrested in Cases Registered during the year,45,Female
Delhi City,Persons Arrested in Cases Registered during the year,1584,Female
Dhanbad,Persons Arrested in Cases Registered during the year,0,Female
Durg-Bhilainagar,Persons Arrested in Cases Registered during the year,169,Female
Faridabad,Persons Arrested in Cases Registered during the year,174,Female
Ghaziabad,Persons Arrested in Cases Registered during the year,0,Female
Gwalior,Persons Arrested in Cases Registered during the year,28,Female
Hyderabad,Persons Arrested in Cases Registered during the year,23,Female
Indore,Persons Arrested in Cases Registered during the year,63,Female
Jabalpur,Persons Arrested in Cases Registered during the year,15,Female
Jaipur,Persons Arrested in Cases Registered during the year,119,Female
Jamshedpur,Persons Arrested in Cases Registered during the year,0,Female
Jodhpur,Persons Arrested in Cases Registered during the year,114,Female
Kannur,Persons Arrested in Cases Registered during the year,112,Female
Kanpur,Persons Arrested in Cases Registered during the year,27,Female
Kochi,Persons Arrested in Cases Registered during the year,17,Female
Kolkata,Persons Arrested in Cases Registered during the year,267,Female
Kollam,Persons Arrested in Cases Registered during the year,94,Female
Kota,Persons Arrested in Cases Registered during the year,23,Female
Kozhikode,Persons Arrested in Cases Registered during the year,57,Female
Lucknow,Persons Arrested in Cases Registered during the year,2,Female
Ludhiana,Persons Arrested in Cases Registered during the year,101,Female
Madurai,Persons Arrested in Cases Registered during the year,120,Female
Malappuram,Persons Arrested in Cases Registered during the year,7,Female
Meerut,Persons Arrested in Cases Registered during the year,0,Female
Mumbai,Persons Arrested in Cases Registered during the year,479,Female
Nagpur,Persons Arrested in Cases Registered during the year,242,Female
Nasik,Persons Arrested in Cases Registered during the year,24,Female
Patna,Persons Arrested in Cases Registered during the year,19,Female
Prayagraj,Persons Arrested in Cases Registered during the year,36,Female
Pune,Persons Arrested in Cases Registered during the year,375,Female
Raipur,Persons Arrested in Cases Registered during the year,45,Female
Rajkot,Persons Arrested in Cases Registered during the year,24,Female
Ranchi,Persons Arrested in Cases Registered during the year,0,Female
Srinagar,Persons Arrested in Cases Registered during the year,86,Female
Surat,Persons Arrested in Cases Registered during the year,612,Female
Thiruvananthapuram,Persons Arrested in Cases Registered during the year,56,Female
Thrissur,Persons Arrested in Cases Registered during the year,46,Female
Tiruchirapalli,Persons Arrested in Cases Registered during the year,14,Female
Vadodara,Persons Arrested in Cases Registered during the year,163,Female
Varanasi,Persons Arrested in Cases Registered during the year,612,Female
Vasai Virar,Persons Arrested in Cases Registered during the year,76,Female
Vijayawada,Persons Arrested in Cases Registered during the year,10,Female
Vishakhapatnam,Persons Arrested in Cases Registered during the year,13,Female
Agra,Persons Arrested in Cases Registered during the year,0,Transgender
Ahmedabad,Persons Arrested in Cases Registered during the year,0,Transgender
Amritsar,Persons Arrested in Cases Registered during the year,0,Transgender
Asansol,Persons Arrested in Cases Registered during the year,0,Transgender
Aurangabad,Persons Arrested in Cases Registered during the year,0,Transgender
Bengaluru,Persons Arrested in Cases Registered during the year,0,Transgender
Bhopal,Persons Arrested in Cases Registered during the year,0,Transgender
Chandigarh City,Persons Arrested in Cases Registered during the year,0,Transgender
Chennai,Persons Arrested in Cases Registered during the year,0,Transgender
Coimbatore,Persons Arrested in Cases Registered during the year,0,Transgender
Delhi City,Persons Arrested in Cases Registered during the year,0,Transgender
Dhanbad,Persons Arrested in Cases Registered during the year,0,Transgender
Durg-Bhilainagar,Persons Arrested in Cases Registered during the year,0,Transgender
