"MP.name","Nature.of.membership","Start.of.term","End.of.term","State","Constituency","Political.party","Gender","Educational.qualifications","Educational.qualifications...details","Age","Debates","Private.Member.Bills","Questions","Attendance","Notes","National.Debates.average","National.Private.Member.Bills.average","National.Questions.average","National.Attendance.average","State.s.Debates.average","State.s.Private.Member.Bills..average","State.s.Questions.average","State.s.Attendance.average","Serious_CrimCase","Immoveable","Moveable"
"Sanjay Dina Patil","Elected","18-May-09","In office","Maharashtra","Mumbai-North-East","Nationalist Congress Party","Male","Graduate","B.Com.; Educated at Mumbai University","45","7","0","467","82%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","28.8","1.7","500","74%",0,9e+05,3723502
"Sanjay Jaiswal","Elected","18-May-09","In office","Bihar","Paschim Champaran","Bharatiya Janata Party","Male","Post Graduate","M.B.B.S., M.D. (General Medicine); Educated at Patna Medical College and Darbhanga Medical College","48","40","0","208","85%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","45.1","0.7","331","87%",0,NA,3429874
"Sanjay Nirupam","Elected","18-May-09","In office","Maharashtra","Mumbai-North","Indian National Congress","Male","Graduate","B.A. (Hons.) Political Science; Educated at A.N. College, Patna","49","57","0","334","89%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","28.8","1.7","500","74%",0,16400000,5487926
"Sanjay Shamrao Dhotre","Elected","18-May-09","In office","Maharashtra","Akola","Bharatiya Janata Party","Male","Graduate","B.E. (Mech.); Educated at Government College of Engineering, Amravati, Maharashtra","55","18","0","395","75%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","28.8","1.7","500","74%",0,17200000,2637203
"Sanjay Singh Chauhan","Elected","18-May-09","In office","Uttar Pradesh","Bijnor","Rashtriya Lok Dal","Male","Graduate","B.A., LL.B.; Educated at S.D. Degree College, Muzaffar Nagar and D.A.V. Degree College, Muzaffar Nagar, Ch. Charan Singh University, Meerut","52","34","0","277","90%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",0,NA,3652624
"Sanjeev Ganesh Naik","Elected","18-May-09","In office","Maharashtra","Thane","Nationalist Congress Party","Male","Inter/ Higher Secondary","Educated at Mumbai University, Maharashtra","41","76","2","756","94%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","28.8","1.7","500","74%",1,13500000,49300000
"Sansuma Khunggur Bwiswmuthiary","Elected","18-May-09","In office","Assam","Kokrajhar","Bodoland People's Front","Male","Graduate","B.A. (Hons. in Political Science), Prabin (Hindi); Educated at Ouabari Lower Primary School, Hashraobari, Borobazar High School, Bijni, Kokrajhar College, under Guwahati University and the Asom Rashtra Bhasha Prachar Samiti, Guwahati, Assam","54","51","0","100","64%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","22.1","0.5","83","80%",0,3100000,3071330
"Sarika Singh Baghel","Elected","18-May-09","In office","Uttar Pradesh","Hathras","Rashtriya Lok Dal","Female","Post Graduate","M.A. (English); Educated at P. C. Bagla College, Hathras","33","1","0","23","94%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",0,NA,825272
"Saroj Pandey","Elected","18-May-09","In office","Chhattisgarh","Durg","Bharatiya Janata Party","Female","Post Graduate","M.Sc. (Child Development); Educated at Bhilai Mahila College (Pt. Ravishankar University, Raipur) ","45","33","4","439","69%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","13.6","0.5","183","60%",0,NA,2.8e+07
"Satabdi Roy","Elected","18-May-09","In office","West Bengal","Birbhum","All India Trinamool Congress","Female","Graduate","B.A.","44","6","0","0","75%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.5","0.8","175","72%",0,7900000,4789000
"Satpal Maharaj","Elected","18-May-09","In office","Uttarakhand","Garhwal","Indian National Congress","Male","Inter/ Higher Secondary","Senior Cambridge; Educated at St. George`s College, Mussoorie (Uttarakhand) ","62","155","9","139","86%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","53","4.6","112","79%",0,84100000,2.8e+07
"Seema Upadhyay","Elected","18-May-09","In office","Uttar Pradesh","Fatehpur Sikri","Bahujan Samaj Party","Female","Graduate","B.A.; Educated at Ismail Degree College","48","13","0","399","86%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",0,24800000,8156096
"Shafiqur Rahman Barq","Elected","18-May-09","In office","Uttar Pradesh","Sambhal","Bahujan Samaj Party","Male","Graduate","B.A.; Educated at Agra University, Agra, Uttar Pradesh","83","31","0","97","98%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",0,4350000,2709762
"Shailendra Kumar","Elected","18-May-09","In office","Uttar Pradesh","Kaushambi","Samajwadi Party","Male","Post Graduate","M. Com.; Educated at Allahabad University (Uttar Pradesh) ","53","353","3","168","97%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",0,18100000,629000
"Sharad Yadav","Elected","18-May-09","In office","Bihar","Madhepura","Janata Dal (United)","Male","Graduate","B.Sc., B.E. (Electrical); Educated at Robertson College and Jabalpur Engineering College, Jabalpur, Madhya Pradesh","66","159","0","42","83%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","45.1","0.7","331","87%",0,4600000,11100000
"Sharifuddin Shariq","Elected","18-May-09","In office","Jammu and Kashmir","Baramulla","Jammu and Kashmir National Conference","Male","Post Graduate","M.A. (Urdu), B.Ed, D.T. and LL.B.; Educated at Jammu and Kashmir University and Aligarh Muslim University, Aligarh (UP) ","78","43","0","58","89%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","44.4","0","96","88%",0,9e+06,1955000
"Shatrughan Sinha","Elected","18-May-09","In office","Bihar","Patna Sahib","Bharatiya Janata Party","Male","Graduate","Educated at Film & Television Institute of Pune (FTII), Maharashtra","67","7","0","66","75%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","45.1","0.7","331","87%",0,69200000,80900000
"Sher Singh Ghubaya","Elected","18-May-09","In office","Punjab","Ferozpur","Shiromani Akali Dal","Male","Matric","","51","12","0","51","64%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","23.8","0.7","170","78%",0,NA,NA
"Shivaji Adhalrao Patil","Elected","18-May-09","In office","Maharashtra","Shirur","Shiv Sena","Male","Inter/ Higher Secondary","Intermediate (Arts); Educated at Shivaji University, Kolhapur, Maharashtra.","57","10","0","1082","43%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","28.8","1.7","500","74%",1,1.05e+08,21800000
"Shivaramagouda Shivanagouda","Elected","18-May-09","In office","Karnataka","Koppal","Bharatiya Janata Party","Male","Graduate","B.A., LL.B.; Educated at Karnataka College, Dhawar and Karnataka University Law College, Dhawar","60","60","0","289","77%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","21.2","0.2","350","68%",0,NA,2212378
"Shivraj Singh Lodhi","Elected","18-May-09","In office","Madhya Pradesh","Damoh","Bharatiya Janata Party","Male","Matric","Educated at Govt. Higher Secondary School, Distt. Sagar, Madhya Pradesh","70","14","0","93","86%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","46.6","0.4","233","82%",0,645000,1417122
"Shrimant Chh. Udyanraje Pratapsinhmaharaj Bhonsle","Elected","18-May-09","In office","Maharashtra","Satara","Nationalist Congress Party","Male","Post Graduate","Production Engg., Educated at Bharati Vidyapeeth","48","1","0","41","51%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","28.8","1.7","500","74%",1,95600000,21700000
"Shripad Yesso Naik","Elected","18-May-09","In office","Goa","North Goa","Bharatiya Janata Party","Male","Graduate","B.A.; Educated at Goa and Bombay University, Mumbai (Maharashtra) ","61","34","0","140","81%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","23.5","0.5","214","88%",0,5450000,4431462
"Shruti Choudhry","Elected","18-May-09","In office","Haryana","Bhiwani-Mahendragarh","Indian National Congress","Female","Graduate","B.A., LL.B.; Educated at Univeristy of Delhi and B.R. Ambedkar University, Agra","38","24","0","664","81%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","13.1","0.1","231","69%",0,1.01e+08,68200000
"Sidhant Mohapatra","Elected","18-May-09","In office","Orissa","Berhampur","Biju Janata Dal","Male","Post Graduate","M.B.A.; Educated at Institute of Marketing and Management","47","3","0","4","58%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","35","0.9","382","74%",0,3850000,3415916
"Sivakumar @ J.K. Ritheesh. K","Elected","18-May-09","In office","Tamil Nadu","Ramanthapuram","Dravida Munnetra Kazhagam","Male","Graduate","B.E. (Civil), D.C.E.,; Educated at Alagappa Engneering College, Karaikudi, Tamil Nadu","40","16","0","161","38%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","47.2","0.4","398","69%",1,NA,NA
"Sk. Nurul Islam","Elected","18-May-09","In office","West Bengal","Basirhat","All India Trinamool Congress","Male","Matric","ALIM; Educated at Khorki Sr. Madrasa","50","1","0","4","37%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.5","0.8","175","72%",0,6e+05,1016000
"Sk. Saidul Haque","Elected","18-May-09","In office","West Bengal","Bardhaman-Durgapur","Communist Party of India (Marxist)","Male","Post Graduate","M.A. (English), B.Ed.; Educated at Burdwan Raj College, Burdwan University","59","96","0","258","97%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.5","0.8","175","72%",0,2366000,686520
"Sohan Potai","Elected","18-May-09","In office","Chhattisgarh","Kanker","Bharatiya Janata Party","Male","Post Graduate","M.A. (Sociology); Educated at Pandit Ravi Shankar University, Raipur (Chhattisgarh) ","55","24","0","5","69%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","13.6","0.5","183","60%",0,NA,3138761
"Somabhai Gandalal Koli Patel","Elected","18-May-09","In office","Gujarat","Surendranagar","Indian National Congress","Male","Under Matric","Educated at Viramgam Taluka Shala, Viramgam, Ahmedabad, Gujarat","73","1","0","10","83%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","41","1.4","382","76%",0,16200000,1233989
"Somendra Nath Mitra","Elected","18-May-09","In office","West Bengal","Diamond Harbour","All India Trinamool Congress","Male","Graduate","B.Sc., LL.B.","70","1","0","278","48%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.5","0.8","175","72%",0,6748345,NA
"Sonawane Pratap Narayanrao","Elected","18-May-09","In office","Maharashtra","Dhule","Bharatiya Janata Party","Male","Graduate","B.E.(Civil); Educated at College of Engineering., Pune, (Maharashtra)","65","14","0","293","53%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","28.8","1.7","500","74%",0,NA,NA
"Sonia Gandhi","Elected","18-May-09","In office","Uttar Pradesh","Rae Bareli","Indian National Congress","Female","Diploma Course","(i) Three years course in foreign languages (English & French) completed in 1964 at Istituto Santa Teresa, Turin (Italy); (ii) Certificate in English from Lennox Cook School, Cambridge (U.K.) completed in 1965.","67","2","0","0","47%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",0,2024300,11800000
"Subhash Bapurao Wankhede","Elected","18-May-09","In office","Maharashtra","Hingoli","Shiv Sena","Male","Matric","Educated at Zilla Parishad School, Hadgaon, Maharashtra","51","12","0","327","65%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","28.8","1.7","500","74%",1,2210000,2212000
"Sucharu Ranjan Haldar","Elected","18-May-09","In office","West Bengal","Ranaghat","All India Trinamool Congress","Male","Post Graduate","M.B.B.S., DTM&H, DDV, M.D.; Educated at (i) Kanakrapara Municiapal Polytechnic High School, (ii) Hooghly Mohsin College, (iii) Medical College, Kolkata, (iv) Kolkata School of Tropical Medicine, (v) University College of Medicine (Kolkata University) and ","73","6","0","29","84%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.5","0.8","175","72%",0,1e+07,882895
"Sudarshan Bhagat","Elected","18-May-09","In office","Jharkhand","Lohardaga","Bharatiya Janata Party","Male","Graduate","B.A. (Hons.); Educated at Kartik Uraon College, Gumla, University of Ranchi, Jharkhand","44","20","0","402","90%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","38.8","0.8","251","66%",0,2085000,1891168
"Sukender Reddy Gutha","Elected","18-May-09","In office","Andhra Pradesh","Nalgonda","Indian National Congress","Male","Graduate","B.Sc.; Educated at Osmania University, Hyderabad, Andhra Pradesh","60","12","0","103","66%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","20.3","0.4","339","68%",0,NA,NA
"Sukhdev Singh Libra","Elected","18-May-09","In office","Punjab","Fatehgarh Sahib","Indian National Congress","Male","Matric","Educated at Shri Guru Govind Singh High School, Khanna, Distt. Ludhiana, Punjab","81","12","0","98","98%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","23.8","0.7","170","78%",0,NA,NA
"Sumitra Mahajan","Elected","18-May-09","In office","Madhya Pradesh","Indore","Bharatiya Janata Party","Female","Post Graduate","M.A., LL.B.; Educated at Indore University, Indore (Madhya Pradesh) ","70","60","2","567","87%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","46.6","0.4","233","82%",0,6111250,1962756
"Supriya Sule","Elected","18-May-09","In office","Maharashtra","Baramati","Nationalist Congress Party","Female","Graduate","B.Sc. (Microbiology); Educated at Jai Hind College, Mumbai, Maharashtra","44","38","5","739","86%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","28.8","1.7","500","74%",0,1.17e+08,4e+08
"Surendra Singh Nagar","Elected","18-May-09","In office","Uttar Pradesh","Gautam Buddha Nagar","Bahujan Samaj Party","Male","Graduate","B.Com; Educated at SSV (PG) College, Hapur, Ghaziabad, Uttar Pradesh","48","28","0","502","81%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",1,2.41e+08,2.55e+08
"Suresh Channabasappa Angadi","Elected","18-May-09","In office","Karnataka","Belgaum","Bharatiya Janata Party","Male","Graduate","B. Com, LL.B. (Spl.); Educated at S.S. S. Samiti College of Commerce, Belgaum and; R.L. Law College, Belgaum","58","25","0","332","67%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","21.2","0.2","350","68%",0,NA,3.5e+07
"Suresh Kalmadi","Elected","18-May-09","In office","Maharashtra","Pune","Indian National Congress","Male","Graduate","B.A.; Educated at Fergusson College, Pune, National Defence Academy, Kharakvasla and Air Force Flying College, Jodhpur and Allahabad","69","14","0","206","51%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","28.8","1.7","500","74%",0,31600000,96500000
"Suresh Kashinath Taware","Elected","18-May-09","In office","Maharashtra","Bhiwandi","Indian National Congress","Male","Graduate","B.Com; Educated at B.N.N. College, Bhiwandi","53","13","1","183","86%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","28.8","1.7","500","74%",0,1.07e+08,2492052
"Suresh Kumar Shetkar","Elected","18-May-09","In office","Andhra Pradesh","Zahirabad","Indian National Congress","Male","Graduate","B.Sc. (Agriculture); Educated at Marathwada Agricultural University Parbhani, Maharashtra","53","20","0","839","79%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","20.3","0.4","339","68%",0,NA,NA
"Sushil Kumar Singh","Elected","18-May-09","In office","Bihar","Aurangabad","Janata Dal (United)","Male","Post Graduate","M.A. (Political Science); Educated at A.N. College, Magadh University, Patna (Bihar) ","50","41","0","362","76%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","45.1","0.7","331","87%",1,14700000,6247765
"Sushila Saroj","Elected","18-May-09","In office","Uttar Pradesh","Mohanlalganj","Samajwadi Party","Female","Post Graduate","M.A., B.Ed., LL.B.; Educated at Lucknow, Gorakhpur University, Uttar Pradesh","62","25","0","543","87%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",0,22200000,6392985
"Susmita Bauri","Elected","18-May-09","In office","West Bengal","Bishnupur","Communist Party of India (Marxist)","Female","Graduate","LL.B.; Educated at Hazra, Law College, Calcutta University, West Bengal","39","31","0","131","94%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.5","0.8","175","72%",0,1e+06,94971
"Suvendu Adhikari","Elected","18-May-09","In office","West Bengal","Tamluk","All India Trinamool Congress","Male","Graduate","B.A. (Hons.); Educated at Contai P. K. College","43","20","0","90","27%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.5","0.8","175","72%",1,3378250,1443745
"Syed Shahnawaz Hussain","Elected","18-May-09","In office","Bihar","Bhagalpur","Bharatiya Janata Party","Male","Diploma Course","Diploma in Engineering (Electronics); Educated at B.S.S.E., Supaul, Patna and ITI, Pusa, Delhi","45","75","0","711","93%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","45.1","0.7","331","87%",0,4800000,3907005
"T.K.S. Elangovan","Elected","18-May-09","In office","Tamil Nadu","Chennai North","Dravida Munnetra Kazhagam","Male","Post Graduate","M.A. (English Literature); Educated at Pachayappa`s College, Chennai","59","56","0","15","91%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","47.2","0.4","398","69%",0,5e+06,2368645
"Tabassum Hasan","Elected","18-May-09","In office","Uttar Pradesh","Kairana","Bahujan Samaj Party","Female","Matric","","43","0","0","31","71%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",0,9850000,1817328
"Takam Sanjoy","Elected","18-May-09","In office","Arunachal Pradesh","Arunachal West","Indian National Congress","Male","Graduate","I.T.I (Mech.), B.A. & LL.B (Final); Educated at Rajiv Gandhi University and Don Bosco Technical School, Shillong, Dera Natung College, Itanagar, Shillong Law College, (NEHU) ","46","5","0","76","63%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","13.8","0","59","75%",0,NA,NA
"Tapas Paul","Elected","18-May-09","In office","West Bengal","Krishnanagar","All India Trinamool Congress","Male","Graduate","B.Sc. (Bio Science); Educated at Burdwan University","55","6","0","0","72%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.5","0.8","175","72%",1,6726860,2664526
"Tarachand Bhagora","Elected","18-May-09","In office","Rajasthan","Banswara","Indian National Congress","Male","Post Graduate","M.A. (Pol. Sc.); Educated at Govt. P.G. College, Dungarpur, Rajasthan","60","3","0","353","80%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","51.5","1","304","88%",0,3587309,2633517
"Tarun Mandal","Elected","18-May-09","In office","West Bengal","Jaynagar","Independent","Male","Graduate","M.B.B.S., P.G.C.C.H.M.; Educated at Medical College, Calcutta University and National Institute of Health & Family Welfare, New Delhi","55","124","0","21","68%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.5","0.8","175","72%",0,254000,264712
"Tathagata Satpathy","Elected","18-May-09","In office","Orissa","Dhenkanal","Biju Janata Dal","Male","Graduate","B.A.; Educated at Sri Aurobindo International Centre of Education, Pondicherry","57","37","0","275","74%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","35","0.9","382","74%",0,3400000,815930
"Thalikkottai Rajuthevar Baalu","Elected","18-May-09","In office","Tamil Nadu","Sriperumbudur","Dravida Munnetra Kazhagam","Male","Graduate","B.Sc., L.C.E.; Educated at New College, University of Madras, Chennai and Central Polytechnic, Chennai, Tamil Nadu","72","39","0","108","83%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","47.2","0.4","398","69%",0,28800000,14900000
"Thangso Baite","Elected","18-May-09","In office","Manipur","Outer Manipur","Indian National Congress","Male","Post Graduate","M.A.","60","3","0","9","98%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","29","0.5","107","98%",0,1450000,327418
"Thirumaa Valavan Thol","Elected","18-May-09","In office","Tamil Nadu","Chidambaram","Viduthalai Chiruthaigal Katchi","Male","Post Graduate","B.L., M.A. (Criminology), B.Sc. (Chemistry); Educated at Presidency College, Chennai and Madras Law College, University of Madras, Chennai","51","35","0","23","50%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","47.2","0.4","398","69%",1,NA,NA
"Thokchom Meinya","Elected","18-May-09","In office","Manipur","Inner Manipur","Indian National Congress","Male","Doctorate","M.Sc., LL.B., M. Phil, Ph. D.; Educated at D.M. College, Imphal, Guwahati University, Guwahati and Osmania University, Hyderabad","68","55","1","204","99%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","29","0.5","107","98%",0,1210000,770800
"Tufani Saroj","Elected","18-May-09","In office","Uttar Pradesh","Machhlishahr","Samajwadi Party","Male","Graduate","B.A.; Educated at Baldeo Degree College, Baragaon, Varanasi (Uttar Pradesh) ","57","49","0","340","85%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",0,4098039,6750965
"Udasi Shivkumar Chanabasappa","Elected","18-May-09","In office","Karnataka","Haveri","Bharatiya Janata Party","Male","Graduate","B.E.; Educated at Bangalore Institute of Engineering, Bangalore, Karnataka","46","84","0","250","87%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","21.2","0.2","350","68%",0,1.65e+08,2.32e+08
"Uday Singh Alias Pappu Singh","Elected","18-May-09","In office","Bihar","Purnia","Bharatiya Janata Party","Male","Inter/ Higher Secondary","Higher Secondary; Eduated at Delhi Public School (1970) ","61","16","0","562","76%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","45.1","0.7","331","87%",1,3.49e+08,90100000
"Usha Verma","Elected","18-May-09","In office","Uttar Pradesh","Hardoi","Samajwadi Party","Female","Post Graduate","M.A. (English); Educated at S.D. Degree College and B.S.M. Degree College, Roorkee, Uttar Pradesh","50","18","0","405","86%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",0,1150000,604134
"Vijay Bahadur Singh","Elected","18-May-09","In office","Uttar Pradesh","Hamirpur","Bahujan Samaj Party","Male","Graduate","B.A., LL.B.; Educated at Allahabad University (Uttar Pradesh) ","73","72","0","199","87%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",0,5550000,7393979
"Vijay Inder Singla","Elected","18-May-09","In office","Punjab","Sangrur","Indian National Congress","Male","Graduate","B.E.; Educated at B.M.S. College of Engineering, Bangalore (Karnataka) ","42","4","0","31","83%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","23.8","0.7","170","78%",0,NA,NA
"Vikrambhai Arjanbhai Maadam","Elected","18-May-09","In office","Gujarat","Jamnagar","Indian National Congress","Male","Graduate","B.A. (Political Science); Educated at Saurashtra University, Jamnagar (Gujarat) ","55","9","0","930","63%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","41","1.4","382","76%",0,13500000,2590109
"Vilas Baburao Muttemwar","Elected","18-May-09","In office","Maharashtra","Nagpur","Indian National Congress","Male","Graduate","B. Com.; Educated at Nagpur University, Nagpur (Maharashtra) ","64","48","0","687","81%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","28.8","1.7","500","74%",0,10900000,3301949
"Vinay Kumar Pandey","Elected","18-May-09","In office","Uttar Pradesh","Shrawasti","Indian National Congress","Male","Doctorate","Ph.D. (Paleobotany), M.Sc. (Botany), PG Diploma in Comupter Science, Advanced Ratna, Certificate Course in Processing adn Cultivation of Aromatic and Medical Plants; Educated at RML University Faizabad, Uttar Pradesh (MLK, PG College, Balrampur, Uttar Pra","49","59","0","197","83%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",1,NA,475127
"Virender Kashyap","Elected","18-May-09","In office","Himachal Pradesh","Shimla","Bharatiya Janata Party","Male","Post Graduate","M.Sc. (Physics); Educated at Himachal Pradesh University","63","131","0","398","90%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","86.3","0.6","337","92%",0,9882216,NA
"Virendra Kumar","Elected","18-May-09","In office","Madhya Pradesh","Tikamgarh","Bharatiya Janata Party","Male","Doctorate","M.A. (Economics), Ph.D (Child Labour); Educated at Dr. Harisingh University, Sagar, Madhya Pradesh","60","200","0","280","96%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","46.6","0.4","233","82%",0,1030000,2321476
"Vishnu Deo Sai","Elected","18-May-09","In office","Chhattisgarh","Raigarh","Bharatiya Janata Party","Male","Inter/ Higher Secondary","Higher Secondary; Educated at Loyola Higher Secondary School, Kunkuri, Jashpur, Chattisgarh","50","4","0","14","52%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","13.6","0.5","183","60%",0,1350000,1045000
"Vishwa Mohan Kumar","Elected","18-May-09","In office","Bihar","Supaul","Janata Dal (United)","Male","Post Graduate","M.Sc.","56","62","0","411","83%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","45.1","0.7","331","87%",0,5500000,1189616
"Wakchaure Bhausaheb Rajaram","Elected","18-May-09","In office","Maharashtra","Shirdi","Shiv Sena","Male","Graduate","B.Com., B.A., LL.B., D.L.L. & L.W., G.A.C. & A., D.E.D.; Educated at Pune University and Ahmednagar","64","24","7","780","66%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","28.8","1.7","500","74%",0,8522188,8009577
