"MP.name","Nature.of.membership","Start.of.term","End.of.term","State","Constituency","Political.party","Gender","Educational.qualifications","Educational.qualifications...details","Age","Debates","Private.Member.Bills","Questions","Attendance","Notes","National.Debates.average","National.Private.Member.Bills.average","National.Questions.average","National.Attendance.average","State.s.Debates.average","State.s.Private.Member.Bills..average","State.s.Questions.average","State.s.Attendance.average","Serious_CrimCase","Immoveable","Moveable"
"Kirti (Jha) Azad","Elected","18-May-09","In office","Bihar","Darbhanga","Bharatiya Janata Party","Male","Graduate","B.A. (Hons.) History; Educated at St. Stephen's College, University of Delhi, Delhi","55","34","0","296","94%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","45.1","0.7","331","87%",1,1e+05,9689047
"Kishanbhai Vestabhai Patel","Elected","18-May-09","In office","Gujarat","Valsad","Indian National Congress","Male","Inter/ Higher Secondary","","49","8","0","787","81%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","41","1.4","382","76%",0,NA,1720244
"Komatireddy Raj Gopal Reddy","Elected","18-May-09","In office","Andhra Pradesh","Bhongir","Indian National Congress","Male","Graduate","B.A.; Osmania University","46","0","0","158","65%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","20.3","0.4","339","68%",0,1.54e+08,4.5e+07
"Konakalla Narayana Rao","Elected","18-May-09","In office","Andhra Pradesh","Machilipatnam","Telugu Desam Party","Male","Inter/ Higher Secondary","","63","3","0","30","74%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","20.3","0.4","339","68%",0,6636000,1980000
"Kristappa Nimmala","Elected","18-May-09","In office","Andhra Pradesh","Hindupur","Telugu Desam Party","Male","Graduate","B.Com.; Educated at Osmania College, Kurnool","57","9","0","41","78%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","20.3","0.4","339","68%",0,10800000,6280050
"Kumbakudi Sudhakaran","Elected","18-May-09","In office","Kerala","Kannur","Indian National Congress","Male","Post Graduate","M.A. (History); Educated at Govt. Brennen College, Telecherry","65","14","0","292","66%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","69.4","1.5","416","79%",1,5250000,2019138
"Kunwarjibhai Mohanbhai Bavaliya","Elected","18-May-09","In office","Gujarat","Rajkot","Indian National Congress","Male","Graduate","B.Sc., B.Ed.; Educated at Saurashtra University and Gujarat University, Gujarat","58","8","0","320","66%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","41","1.4","382","76%",1,2900000,987667
"Lal Ji Tandon","Elected","18-May-09","In office","Uttar Pradesh","Lucknow","Bharatiya Janata Party","Male","Graduate","","78","10","0","150","81%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",0,10500000,14200000
"Lalit Mohan Suklabaidya","Elected","18-May-09","In office","Assam","Karimganj","Indian National Congress","Male","Post Graduate","M.A. (Economics); Educated at Karimganj College, Karimganj and Gauhati University (Assam) ","71","24","0","22","95%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","22.1","0.5","83","80%",0,2400000,1469049
"Lalubhai Babubhai Patel","Elected","18-May-09","In office","Daman and Diu","Daman and Diu","Bharatiya Janata Party","Male","Matric","Shree Somnath Kolvani Mandal High School, Dabhol, Daman","58","8","0","78","64%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","8","0","78","64%",0,18500000,16100000
