mp_index,mp_name,nature_membership,term_start_date,term_end_date,term,pc_name,state,mp_political_party,mp_gender,educational_qualification,educational_qualification_details,mp_age,ag_debates,ag_private_member_bills,ag_questions,avg_attendance,mp_note,ag_national_average_debate,ag_national_average_pmb,ag_national_average_questions,avg_attendance_national_average,ag_state_average_debate,ag_state_average_pmb,ag_state_average_questions,avg_attendance_state_average,mp_house
900217,K.V.P. Ramachandra Rao,Elected,10-04-2008,09-04-2020,Third Term,N/A,Telangana,Indian National Congress,Male,Professional Graduate,"M.B.B.S. Educated at Rangaraya Medical College, Kakinada, Andhra University, Andhra Pradesh",75,59,7,1179,0.871727749, Data corresponds to the period from 01-06-2009 to 10-02-2024.,136.9358632,2.469016273,608.9879606,0.787043243,128.1238095,1.166666667,710.8142857,0.71613233,Rajya Sabha
900372,Prabhat Jha,Elected,10-04-2008,09-04-2020,Second Term,N/A,Madhya Pradesh,Bharatiya Janata Party,Male,Post Graduate,"B. Sc., M.A. (Political Science), LL. B., Educated at PGV College, Gwalior and Madhav College, and MLB College, Gwalior",67,107,19,2079,0.726783311, Data corresponds to the period from 01-06-2009 to 10-02-2024.,136.9358632,2.469016273,608.9879606,0.787043243,138.9199134,2.111111111,753.0676407,0.850316503,Rajya Sabha
900032,Amar Patnaik,Elected,04-07-2019,03-04-2024,First Term,N/A,Odisha,Biju Janata Dal,Male,Doctorate,"B.Sc. (Hons.), P.G.D.B.M., LL.B., Masters in Public Management, Ph.D. Educated at St. Stephen's College, Delhi University, Xavier Institute of Management, Bhubaneswar, Odisha, Lee Kuan Yew School of Public Policy, Singapore University, John F. Kennedy School of Governement, Harvard and Xavier Univeristy, Odisha",57,1411,9,475,0.965517241, Data corresponds to the period from 01-06-2009 to 10-02-2024.,102.6900859,1.210485759,208.0091273,0.787043243,433.9333333,4.222222222,283.8888889,0.780593478,Rajya Sabha
900016,Abhishek Manu Singhvi,Elected,03-04-2018,02-04-2024,Third Term,N/A,West Bengal,Indian National Congress,Male,Doctorate,"B.A.(Hons.), M.A., Ph.D., PIL Educated at St. Columba's School, Delhi, St. Stephen's College, Delhi University, Trinity College, University of Cambridge, U.K. and Havard University, U.S.A.",65,21,4,79,0.414838036, Data corresponds to the period from 01-06-2009 to 10-02-2024.,213.6208544,3.351590497,769.6849498,0.787043243,250.9064935,3.409722222,801.8725649,0.77872355,Rajya Sabha
900539,Surendra Singh Nagar,Elected,05-07-2022,In Office,Third Term,N/A,Uttar Pradesh,Bharatiya Janata Party,Male,Graduate,"B.Com; Educated at SSV (PG) College, Hapur, Ghaziabad, Uttar Pradesh",59,101,1,386,0.874439462, Data corresponds to the period from 01-06-2009 to 10-02-2024.,139.3098675,1.837862475,368.2694884,0.787043243,127.7150246,0.543678161,356.2243021,0.832984277,Rajya Sabha
900193,Jyotiraditya Madhavrao Scindia,Elected,22-06-2020,04-06-2024,First Term,N/A,Madhya Pradesh,Bharatiya Janata Party,Male,Post Graduate,"M.A., M.B.A.; Educated at Doon School, Dehradun, Harvard University (U.S.A.) and Stanford University, California (USA)",53,6,N/A,76,0.848484848,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2009 to 10-02-2024.",14.7655934,N/A,26.98962433,0.787043243,10.22222222,N/A,23.77777778,0.850316503,Rajya Sabha
900501,Shanta Chhetri,Elected,19-08-2017,18-08-2023,First Term,N/A,West Bengal,All India Trinamool Congress,Female,Post Graduate,M.Com from North Bengal University,67,165,11,418,0.792569659, Data corresponds to the period from 01-06-2009 to 10-02-2024.,100.8988846,1.133559671,272.5717981,0.787043243,149.6095238,1.895833333,274.6547619,0.69145404,Rajya Sabha
900263,M.V. Rajeev Gowda,Elected,26-06-2014,25-06-2020,First Term,N/A,Karnataka,Indian National Congress,Male,Doctorate,"Ph.D in Public Policy & Management from Wharton School of Pennsylvania, USA",60,130,3,693,0.92345679, Data corresponds to the period from 01-06-2009 to 10-02-2024.,97.66890515,1.500965027,324.7388369,0.787043243,76.62272727,1.009090909,396.6151515,0.724209112,Rajya Sabha
900485,Sardar Sukh Dev Singh Dhindsa,Elected,10-04-2016,09-04-2022,Third Term,N/A,Punjab,Shiromani Akali Dal,Male,Graduate,"B.A. Educated at Guru Nanak School, Sangrur and Government Ranbir College, Sangrur, Punjab",88,67,1,471,0.687737042, Data corresponds to the period from 01-06-2009 to 10-02-2024.,166.4842277,2.505598746,627.0725765,0.787043243,108.3952381,1.557142857,574.8809524,0.786130822,Rajya Sabha
900336,Naresh Gujral,Elected,10-04-2016,09-04-2022,Third Term,N/A,Punjab,Shiromani Akali Dal,Male,Graduate,"B.A., F.C.A. Educated at St. Stephen's College, University of Delhi and Institute of Chartered Accountants of India, Delhi",76,124,3,368,0.947613504, Data corresponds to the period from 01-06-2009 to 10-02-2024.,174.8894394,2.710025889,690.03765,0.787043243,113.3952381,1.557142857,665.0809524,0.786130822,Rajya Sabha
