Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
30,Rahul Gandhi,WAYANAD,INC,18,Post Graduate,"Rs 20,39,61,862","Rs 49,79,184"
31,Ravidas Mehrotra,LUCKNOW,SP,18,Graduate Professional,"Rs 1,18,50,112","Rs 88,480"
32,Rahul Gandhi,RAE BARELI,INC,18,Post Graduate,"Rs 20,39,61,862","Rs 49,79,184"
33,Vijay Kumar Shukla,VAISHALI,RJD,18,Doctorate,"Rs 27,89,09,949","Rs 7,85,44,428"
34,Ajay Rai,VARANASI,INC,18,Graduate,"Rs 2,65,22,683","Rs 15,35,243"
35,Dadan Yadav,BUXAR,IND,17,12th Pass,"Rs 5,64,37,500","Rs 46,04,30,000"
36,Thanga Tamilselvan,THENI,DMK,17,Post Graduate,"Rs 4,98,50,594",Rs 0
37,Digvijaya Singh,RAJGARH,INC,17,Graduate Professional,"Rs 50,24,12,166","Rs 6,32,90,421"
38,Ramnath Singh Sikarwar,FATEHPUR SIKRI,INC,17,Graduate,"Rs 69,92,919",Rs 0
39,Pradeep Kumar Majhi,NABARANGPUR (ST),BJD,17,Graduate,"Rs 2,32,65,510","Rs 22,06,219"
40,Subbarao Challa,NARSARAOPET,IND,16,10th Pass,"Rs 81,23,180","Rs 35,88,320"
41,Abhay Kumar Sinha,AURANGABAD,RJD,16,12th Pass,"Rs 10,77,18,589","Rs 4,78,01,483"
42,Sukanta Majumdar,BALURGHAT,BJP,16,Doctorate,"Rs 1,24,76,825","Rs 11,25,114"
43,Vijendra,TONK-SAWAI MADHOPUR,Aazad Samaj Party (Kanshi Ram),16,Post Graduate,"Rs 1,21,87,000","Rs 15,00,000"
44,Manoj Paul,ANDAMAN AND NICOBAR ISLANDS,Andaman Nicobar Democratic Congress,15,Graduate Professional,"Rs 24,33,734","Rs 10,00,000"
45,Dulu Ahmed,BARPETA,IND,15,Graduate,"Rs 63,57,12,765","Rs 11,86,20,393"
