Year,State_UT,State_UT_Raw,Row_Type,Crime_Head_Standardized,Crime_Head_Raw,Is_Detailed_Subcategory,Count
2001,Gujarat,Gujarat,State/UT,Rape,RAPE,FALSE,286
2001,Gujarat,Gujarat,State/UT,Total Crimes against Women,TOTAL CRIMES AGAINST WOMEN,FALSE,5805
2001,Haryana,Haryana,State/UT,Assault on Women with Intent to Outrage Modesty,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,FALSE,478
2001,Haryana,Haryana,State/UT,Cruelty by Husband or Relatives,CRUELTY BY HUSBAND OR RELATIVES,FALSE,1513
2001,Haryana,Haryana,State/UT,Dowry Deaths,DOWRY DEATH,FALSE,285
2001,Haryana,Haryana,State/UT,Immoral Traffic (Prevention) Act,IMMORAL TRAFFIC(PREVENTION)ACT,FALSE,21
2001,Haryana,Haryana,State/UT,Indecent Representation of Women (Prevention) Act,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,FALSE,0
2001,Haryana,Haryana,State/UT,Insult to Modesty of Women,INSULT TO THE MODESTY OF WOMEN,FALSE,401
2001,Haryana,Haryana,State/UT,Kidnapping & Abduction of Women,KIDNAPPING & ABDUCTION,FALSE,297
2001,Haryana,Haryana,State/UT,Rape,RAPE,FALSE,398
2001,Haryana,Haryana,State/UT,Total Crimes against Women,TOTAL CRIMES AGAINST WOMEN,FALSE,3393
2001,Himachal Pradesh,Himachal Pradesh,State/UT,Assault on Women with Intent to Outrage Modesty,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,FALSE,310
2001,Himachal Pradesh,Himachal Pradesh,State/UT,Cruelty by Husband or Relatives,CRUELTY BY HUSBAND OR RELATIVES,FALSE,317
2001,Himachal Pradesh,Himachal Pradesh,State/UT,Dowry Deaths,DOWRY DEATH,FALSE,10
2001,Himachal Pradesh,Himachal Pradesh,State/UT,Immoral Traffic (Prevention) Act,IMMORAL TRAFFIC(PREVENTION)ACT,FALSE,1
2001,Himachal Pradesh,Himachal Pradesh,State/UT,Indecent Representation of Women (Prevention) Act,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,FALSE,0
2001,Himachal Pradesh,Himachal Pradesh,State/UT,Insult to Modesty of Women,INSULT TO THE MODESTY OF WOMEN,FALSE,14
2001,Himachal Pradesh,Himachal Pradesh,State/UT,Kidnapping & Abduction of Women,KIDNAPPING & ABDUCTION,FALSE,105
2001,Himachal Pradesh,Himachal Pradesh,State/UT,Rape,RAPE,FALSE,124
2001,Himachal Pradesh,Himachal Pradesh,State/UT,Total Crimes against Women,TOTAL CRIMES AGAINST WOMEN,FALSE,890
2001,Jammu & Kashmir,Jammu & Kashmir,State/UT,Assault on Women with Intent to Outrage Modesty,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,FALSE,622
2001,Jammu & Kashmir,Jammu & Kashmir,State/UT,Cruelty by Husband or Relatives,CRUELTY BY HUSBAND OR RELATIVES,FALSE,50
2001,Jammu & Kashmir,Jammu & Kashmir,State/UT,Dowry Deaths,DOWRY DEATH,FALSE,13
2001,Jammu & Kashmir,Jammu & Kashmir,State/UT,Immoral Traffic (Prevention) Act,IMMORAL TRAFFIC(PREVENTION)ACT,FALSE,7
2001,Jammu & Kashmir,Jammu & Kashmir,State/UT,Indecent Representation of Women (Prevention) Act,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,FALSE,0
2001,Jammu & Kashmir,Jammu & Kashmir,State/UT,Insult to Modesty of Women,INSULT TO THE MODESTY OF WOMEN,FALSE,288
2001,Jammu & Kashmir,Jammu & Kashmir,State/UT,Kidnapping & Abduction of Women,KIDNAPPING & ABDUCTION,FALSE,504
2001,Jammu & Kashmir,Jammu & Kashmir,State/UT,Rape,RAPE,FALSE,169
2001,Jammu & Kashmir,Jammu & Kashmir,State/UT,Total Crimes against Women,TOTAL CRIMES AGAINST WOMEN,FALSE,1656
2001,Jharkhand,Jharkhand,State/UT,Assault on Women with Intent to Outrage Modesty,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,FALSE,297
2001,Jharkhand,Jharkhand,State/UT,Cruelty by Husband or Relatives,CRUELTY BY HUSBAND OR RELATIVES,FALSE,484
2001,Jharkhand,Jharkhand,State/UT,Dowry Deaths,DOWRY DEATH,FALSE,217
2001,Jharkhand,Jharkhand,State/UT,Immoral Traffic (Prevention) Act,IMMORAL TRAFFIC(PREVENTION)ACT,FALSE,3
2001,Jharkhand,Jharkhand,State/UT,Indecent Representation of Women (Prevention) Act,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,FALSE,0
2001,Jharkhand,Jharkhand,State/UT,Insult to Modesty of Women,INSULT TO THE MODESTY OF WOMEN,FALSE,5
2001,Jharkhand,Jharkhand,State/UT,Kidnapping & Abduction of Women,KIDNAPPING & ABDUCTION,FALSE,279
2001,Jharkhand,Jharkhand,State/UT,Rape,RAPE,FALSE,567
2001,Jharkhand,Jharkhand,State/UT,Total Crimes against Women,TOTAL CRIMES AGAINST WOMEN,FALSE,2229
2001,Karnataka,Karnataka,State/UT,Assault on Women with Intent to Outrage Modesty,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,FALSE,1665
2001,Karnataka,Karnataka,State/UT,Cruelty by Husband or Relatives,CRUELTY BY HUSBAND OR RELATIVES,FALSE,1755
2001,Karnataka,Karnataka,State/UT,Dowry Deaths,DOWRY DEATH,FALSE,220
2001,Karnataka,Karnataka,State/UT,Immoral Traffic (Prevention) Act,IMMORAL TRAFFIC(PREVENTION)ACT,FALSE,1356
2001,Karnataka,Karnataka,State/UT,Indecent Representation of Women (Prevention) Act,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,FALSE,0
2001,Karnataka,Karnataka,State/UT,Insult to Modesty of Women,INSULT TO THE MODESTY OF WOMEN,FALSE,81
2001,Karnataka,Karnataka,State/UT,Kidnapping & Abduction of Women,KIDNAPPING & ABDUCTION,FALSE,271
2001,Karnataka,Karnataka,State/UT,Rape,RAPE,FALSE,293
2001,Karnataka,Karnataka,State/UT,Total Crimes against Women,TOTAL CRIMES AGAINST WOMEN,FALSE,6002
2001,Kerala,Kerala,State/UT,Assault on Women with Intent to Outrage Modesty,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,FALSE,1942
2001,Kerala,Kerala,State/UT,Cruelty by Husband or Relatives,CRUELTY BY HUSBAND OR RELATIVES,FALSE,2561
2001,Kerala,Kerala,State/UT,Dowry Deaths,DOWRY DEATH,FALSE,27
2001,Kerala,Kerala,State/UT,Immoral Traffic (Prevention) Act,IMMORAL TRAFFIC(PREVENTION)ACT,FALSE,132
2001,Kerala,Kerala,State/UT,Indecent Representation of Women (Prevention) Act,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,FALSE,42
2001,Kerala,Kerala,State/UT,Insult to Modesty of Women,INSULT TO THE MODESTY OF WOMEN,FALSE,81
2001,Kerala,Kerala,State/UT,Kidnapping & Abduction of Women,KIDNAPPING & ABDUCTION,FALSE,97
2001,Kerala,Kerala,State/UT,Rape,RAPE,FALSE,562
2001,Kerala,Kerala,State/UT,Total Crimes against Women,TOTAL CRIMES AGAINST WOMEN,FALSE,5450
2001,Lakshadweep,Lakshadweep,State/UT,Assault on Women with Intent to Outrage Modesty,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,FALSE,0
2001,Lakshadweep,Lakshadweep,State/UT,Cruelty by Husband or Relatives,CRUELTY BY HUSBAND OR RELATIVES,FALSE,0
2001,Lakshadweep,Lakshadweep,State/UT,Dowry Deaths,DOWRY DEATH,FALSE,0
2001,Lakshadweep,Lakshadweep,State/UT,Immoral Traffic (Prevention) Act,IMMORAL TRAFFIC(PREVENTION)ACT,FALSE,0
2001,Lakshadweep,Lakshadweep,State/UT,Indecent Representation of Women (Prevention) Act,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,FALSE,0
2001,Lakshadweep,Lakshadweep,State/UT,Insult to Modesty of Women,INSULT TO THE MODESTY OF WOMEN,FALSE,0
2001,Lakshadweep,Lakshadweep,State/UT,Kidnapping & Abduction of Women,KIDNAPPING & ABDUCTION,FALSE,0
2001,Lakshadweep,Lakshadweep,State/UT,Rape,RAPE,FALSE,0
2001,Lakshadweep,Lakshadweep,State/UT,Total Crimes against Women,TOTAL CRIMES AGAINST WOMEN,FALSE,0
2001,Madhya Pradesh,Madhya Pradesh,State/UT,Assault on Women with Intent to Outrage Modesty,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,FALSE,7063
2001,Madhya Pradesh,Madhya Pradesh,State/UT,Cruelty by Husband or Relatives,CRUELTY BY HUSBAND OR RELATIVES,FALSE,2562
2001,Madhya Pradesh,Madhya Pradesh,State/UT,Dowry Deaths,DOWRY DEATH,FALSE,609
2001,Madhya Pradesh,Madhya Pradesh,State/UT,Immoral Traffic (Prevention) Act,IMMORAL TRAFFIC(PREVENTION)ACT,FALSE,15
2001,Madhya Pradesh,Madhya Pradesh,State/UT,Indecent Representation of Women (Prevention) Act,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,FALSE,0
2001,Madhya Pradesh,Madhya Pradesh,State/UT,Insult to Modesty of Women,INSULT TO THE MODESTY OF WOMEN,FALSE,751
2001,Madhya Pradesh,Madhya Pradesh,State/UT,Kidnapping & Abduction of Women,KIDNAPPING & ABDUCTION,FALSE,668
2001,Madhya Pradesh,Madhya Pradesh,State/UT,Rape,RAPE,FALSE,2851
2001,Madhya Pradesh,Madhya Pradesh,State/UT,Total Crimes against Women,TOTAL CRIMES AGAINST WOMEN,FALSE,14549
2001,Maharashtra,Maharashtra,State/UT,Assault on Women with Intent to Outrage Modesty,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,FALSE,2823
2001,Maharashtra,Maharashtra,State/UT,Cruelty by Husband or Relatives,CRUELTY BY HUSBAND OR RELATIVES,FALSE,6090
2001,Maharashtra,Maharashtra,State/UT,Dowry Deaths,DOWRY DEATH,FALSE,308
2001,Maharashtra,Maharashtra,State/UT,Immoral Traffic (Prevention) Act,IMMORAL TRAFFIC(PREVENTION)ACT,FALSE,233
2001,Maharashtra,Maharashtra,State/UT,Indecent Representation of Women (Prevention) Act,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,FALSE,9
2001,Maharashtra,Maharashtra,State/UT,Insult to Modesty of Women,INSULT TO THE MODESTY OF WOMEN,FALSE,1120
2001,Maharashtra,Maharashtra,State/UT,Kidnapping & Abduction of Women,KIDNAPPING & ABDUCTION,FALSE,611
2001,Maharashtra,Maharashtra,State/UT,Rape,RAPE,FALSE,1302
2001,Maharashtra,Maharashtra,State/UT,Total Crimes against Women,TOTAL CRIMES AGAINST WOMEN,FALSE,12524
2001,Manipur,Manipur,State/UT,Assault on Women with Intent to Outrage Modesty,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,FALSE,21
2001,Manipur,Manipur,State/UT,Cruelty by Husband or Relatives,CRUELTY BY HUSBAND OR RELATIVES,FALSE,5
2001,Manipur,Manipur,State/UT,Dowry Deaths,DOWRY DEATH,FALSE,0
2001,Manipur,Manipur,State/UT,Immoral Traffic (Prevention) Act,IMMORAL TRAFFIC(PREVENTION)ACT,FALSE,4
